,Gender,Gt,Operative,SI,Score,k_Pt,k_SIt,k_ut,t
42,female,0.8228955128787209,True,0.00019188833172487175,75.0,0.0001439919720897867,402.596813401234,999.9999999999998,648
43,male,0.9068740743591438,True,8.867477742602096e-05,100.0,1.1119087971157995e-06,107.93958597690533,55.70112561475187,1317
44,male,0.8974867313321241,True,0.00031143412605244965,81.3953488372093,1.0,1419.6035153042842,17.208323089839222,13948
45,male,0.9988447282715784,True,0.0001030643423891221,94.73684210526315,0.3170647186357404,219.69368314806042,118.98776793927203,8423
46,male,0.9063320155854949,True,0.00014915639330789413,31.428571428571427,0.04700053971291797,9571.594618119274,431.0303480654183,9240
47,male,0.8782500474767289,True,0.00022414837453039693,58.82352941176471,0.2557380079770322,10000.00000000001,999.9999999999998,6155
48,female,0.9611413506348382,True,0.0001290593238123295,100.0,0.0010765689314666566,377.974005238748,14.972417241884473,6545
49,male,0.920149948697952,True,0.000328566370381183,59.25925925925925,0.5148321574133207,2643.622154994546,999.9999999999998,2413
50,male,0.830243007892484,True,0.00024239678492898124,100.0,0.4238149774094868,158.71195893766486,0.0025433846884968902,277
51,female,1.0183125590450723,True,5.44518135756391e-05,100.0,1.0,265.72217079149794,28.49167479494033,796
52,female,0.8776348345088948,True,8.567698155578878e-05,100.0,1.5705236822394468e-05,149.97268186661532,116.64885788794595,705
53,male,0.8487263995058738,True,0.00013656794308620148,71.42857142857143,2.2543975790092646e-05,100.00000000000004,999.9999999999998,1092
54,male,0.8932858256440316,True,7.45489084068289e-05,95.45454545454545,0.0005505519964654873,117.95577558607476,24.57818398785603,1913
55,female,0.8058058659136083,True,0.0005791158427339487,66.66666666666666,0.6282272369809826,1012.7801191753781,999.9999999999998,5252
56,male,0.9215876064333082,True,0.00015142562571260885,70.58823529411765,1.0,242.18863126823868,78.7087249610888,3924
57,male,0.9219169024510782,True,0.00011508429448721192,70.0,0.4526643402069124,2459.180950214317,343.2744091124499,2417
58,male,0.7921283481350028,True,0.00043158523788920525,90.0,0.00829649055871346,185.6032577796137,10.068504967765143,1518
59,male,0.8064364162823706,True,0.0003969872162716844,66.66666666666666,0.1545776268770805,10000.00000000001,2.988362709188658,3503
60,male,0.9355337349445184,True,8.985698327329944e-05,88.88888888888889,0.007220686982900942,259.089168388667,291.195174312355,850
61,male,0.9426801627978149,True,9.115133353884967e-05,93.75,0.0012160555235283717,100.00000000000004,52.91451667776636,3256
62,male,0.9562538715504971,True,4.490543842157269e-05,100.0,0.00037913836077084235,10000.00000000001,6.36567414478887,354
63,female,0.9115926759973457,True,0.00014454756266112299,69.6969696969697,1.0,513.3185368528217,999.9999999999998,3646
64,male,0.8979163992207833,True,0.00013154949243590193,100.0,0.0007263169645452079,1613.09902182633,999.9999999999998,1326
65,male,0.8738970795453203,True,0.00013176777106632356,100.0,1.0,133.11381734090662,999.9999999999998,2236
66,female,0.8795580003549995,True,0.00012818902310568123,0.0,0.0009169908449275803,4854.817315730525,0.001865968095864979,434
67,male,0.7213966129698846,True,0.00042025895106648464,0.0,0.10000000000000002,999.9999999999998,1.0,212
69,male,0.989715814101821,True,0.0001253023131382489,71.7948717948718,5.193935068938288e-05,3197.934878317954,234.59097435138636,4017
70,female,0.9586214289537331,True,7.039411948374234e-05,0.0,0.10000000000000002,999.9999999999998,1.0,159
71,female,0.8531167738071566,True,0.00010663953076716936,90.47619047619048,0.0002614444033586778,10000.00000000001,3.2979931214681457,2514
72,male,0.7581966695707586,True,0.0013229498412624815,100.0,1.0,394.43133669080333,999.9999999999998,679
73,female,0.855838776808972,True,0.00036517751990335854,94.11764705882352,1.0,163.87824031856613,999.9999999999998,6442
74,male,0.8758776261031234,True,0.0002268643478239901,49.09090909090909,2.1540304558696137e-05,715.756756409561,52.15320111042521,6241
75,male,0.8451755210831495,True,0.0002268675379937351,58.2089552238806,0.40592212943527783,3267.5416714896955,999.9999999999998,11411
76,male,0.9107929462686658,True,9.507488262262382e-05,78.94736842105263,0.03188182307596121,346.41145465357715,369.25098106359496,2330
77,male,0.9656272032082067,True,6.860350557037626e-05,0.0,0.10000000000000002,999.9999999999998,1.0,141
79,male,0.7711066657392334,True,0.00026339531757351255,76.92307692307693,1.2505823347984634e-05,499.5757273354685,35.47251273605501,1540
80,male,0.6696263170163498,True,0.0006538440009717639,100.0,1.209350654451443e-06,302.92648338787865,0.15723712120943367,310
81,male,0.8533577739383991,True,0.0002206044510036792,92.3076923076923,0.00010637457863036427,296.268769801666,10.78215118744872,1722
82,male,0.8789137096241152,True,0.00010227182369820845,100.0,0.046768206330320417,100.00000000000004,37.269828388448055,2631
83,male,0.8926516746748661,True,8.49854591948763e-05,88.88888888888889,0.006837954746240023,123.71207464830856,999.9999999999998,1093
85,male,0.8277859661826019,True,0.00030734144110611635,73.80952380952381,0.27508971682818734,1591.7137836587804,999.9999999999998,6843
86,male,0.9842490156929457,True,0.00010747453070619479,54.166666666666664,0.30705134485820745,3161.1614777707296,120.9719528920262,2160
87,male,0.9434216776800309,True,9.965491763294968e-05,48.4375,0.09303978161601936,3684.44872652709,299.50123248036465,7846
88,male,0.9037059978509259,True,6.37502307908578e-05,100.0,3.61198881488311e-06,100.00000000000004,7.303407960520533,734
89,male,0.9144085533135349,True,0.0001514890675473615,97.22222222222221,0.09918627027554563,487.5686392682054,25.639064993929352,8340
90,male,0.7590593812149202,True,0.0005646762904601452,0.0,0.0817762642803565,249.80040733056785,222.7377909215943,528
91,male,0.8435592457553068,True,0.00018836234129370328,50.0,1.0,3167.233548015592,999.9999999999998,5859
92,female,0.7545312410378192,True,0.0003390453494534919,100.0,0.030423645193426982,100.00000000000004,26.610928541578588,1145
93,female,0.8282688975419258,True,0.0003625651383925543,79.1044776119403,0.24912680590432812,778.6209856349717,999.9999999999998,11213
94,male,0.9453665708030615,True,0.0001597847159642776,94.16058394160584,0.07267177586043963,173.9890007195795,58.0733841201719,16055
95,female,0.945623114071947,True,9.84439155518816e-05,86.66666666666667,0.01167736595789024,10000.00000000001,999.9999999999998,1547
96,female,0.8182775563717034,True,0.0003181184208675154,0.0,0.10000647686401731,1000.0007133500095,1.000449930761227,419
97,male,0.854651476111483,True,0.00013852923984000398,66.66666666666666,1.6858219293221718e-05,514.9106976501643,97.4900211170415,1085
98,female,0.9058386822563732,True,0.00010578774538534112,81.81818181818183,2.759235820374383e-06,10000.00000000001,999.9999999999998,1833
100,male,0.9184798915595256,True,0.00017644768148186637,93.63636363636364,0.9306334759234368,204.38544155516644,33.84673772863122,11229
101,male,0.9417047431972044,True,6.887520671526542e-05,66.66666666666666,3.684975431922418e-06,442.00282323453945,0.029454402883359918,564
102,female,0.8672792661723137,True,0.0001742141111897751,95.0,0.11036845324207786,10000.00000000001,13.787931158310656,1977
103,female,-inf,True,0.00024756051263978633,77.77777777777779,0.016164261783675048,10000.00000000001,61.79127596079654,2370
105,male,0.8667712812063041,True,0.0002322223449562292,51.61290322580645,0.25022487642106767,1116.5725597512994,999.9999999999998,15798
106,male,0.8913494752093627,True,0.000189676781921594,74.80916030534351,0.31897818458036414,527.4835745208464,999.9999999999998,15781
107,male,0.9016137057255662,True,8.175162821263801e-05,100.0,0.006450983207571355,131.3698209591595,999.9999999999998,959
108,female,0.8251764305506444,True,0.0004714318549448072,53.84615384615385,0.3132826672556281,10000.00000000001,999.9999999999998,2009
109,female,0.902260363038894,True,8.052027598561454e-05,95.23809523809523,0.008080845757385607,239.31720623056933,29.254573862135658,1971
110,female,0.9402255571276639,True,8.537535228996117e-05,60.0,0.014275058700223523,10000.00000000001,999.9999999999998,487
111,male,0.7545106400315271,True,0.0007038222228309687,0.0,0.10000000000000002,999.9999999999998,1.0,291
112,male,0.8322887053749233,True,0.0005625344697507912,75.0,1.0,500.8451317803194,12.5239341187539,1661
113,male,0.8758892699239561,True,9.473466096545367e-05,100.0,0.0002922532253324687,100.00000000000004,3.275073686754462,1375
114,male,0.863272849626482,True,0.00032979188467056365,100.0,0.09861966369398269,10000.00000000001,19.408191947015098,1556
116,female,0.9667785528128928,True,8.148592582056847e-05,100.0,0.018101733507491637,239.46130054424978,8.808654523487277,788
117,female,0.8606503804670363,True,0.0002138378696646342,40.816326530612244,0.26256259365016343,1865.6317929999118,999.9999999999998,8422
118,male,0.9519669834368302,True,0.0001363798944943273,66.66666666666666,2.4931192053256767e-05,958.1450256955925,999.9999999999998,6457
119,male,0.8334094600719436,True,0.00031973345068851423,40.0,0.1096592429360895,2132.7322486149187,16.286768050742836,2053
121,female,0.9671971415333407,True,8.133241113833945e-05,100.0,0.023468038564149685,100.00000000000004,28.09357839363461,7801
123,male,0.764875431154986,True,0.0006626324423340006,100.0,1.0,960.6667724652899,134.26116790641004,1128
124,female,0.9179273137521274,True,0.00013474058426107984,85.71428571428571,0.10053227205339171,875.6653355058501,67.53050401088372,4018
125,female,0.8313456434590905,True,0.00036776564465632354,85.71428571428571,0.09154403762923942,728.2961100756029,173.69657045824619,3949
126,male,0.7455548463930431,True,0.0006925119444281984,96.96969696969697,0.14740809161768362,244.72417125539602,29.56102323561061,3827
127,male,0.8078124319785331,True,0.0003902712133559236,0.0,0.005736948975679023,5556.459190585434,290.7459699673519,1140
128,male,0.9372978699368045,True,5.856687705381402e-05,100.0,0.0011586637849325563,437.0154788449492,59.16970454038206,871
129,male,0.9472877765803963,True,5.412958811850609e-05,100.0,0.10000000000000002,1000.0000000000238,1.0000000000115545,879
130,male,0.8404225071499548,True,0.00024391089962497888,100.0,0.22368399681001358,1951.4024604539431,4.779216588257548,1935
131,male,0.8524605131524079,True,0.0004377892276225007,87.67123287671232,1.0,215.28488128288362,408.95881743538746,7977
132,male,0.9300112861375971,True,0.00016348845263683266,0.0,1.0,7061.326587701457,4.869004462942369,597
134,male,0.9222397792648508,True,7.128401430026257e-05,81.81818181818183,0.00020822174384408105,756.3351464497762,170.35218827090975,1100
135,female,0.8890825336202498,True,7.153118476464091e-05,84.61538461538461,0.21220265274594316,619.6335629701019,0.0012094155202354167,925
136,male,0.8185744338785851,True,0.0001321255390856907,33.33333333333333,0.10000000000000002,10000.00000000001,3.0592379985946265,797
137,female,0.835198719714857,True,0.0002964099318818595,65.21739130434783,1.0,1331.49907474187,999.9999999999998,3189
138,female,0.8406599967689062,True,0.0002107633668515554,84.50704225352112,1.0,379.4185842068659,24.02470944074495,10591
139,female,0.9076585469472365,True,7.222031752773793e-05,14.285714285714285,1.8151628372530448e-05,100.00000000000004,0.24054648022446315,789
140,female,0.7940803597544852,True,0.0004099127957474173,81.57894736842105,0.32806081367,419.5060806209815,999.9999999999998,5026
141,male,0.876999495627504,True,0.000186226242498267,66.66666666666666,1.0,363.6094395413067,20.804658570978688,2619
142,male,0.8769707926161914,True,0.00017706298808707792,60.0,0.3091963087607323,10000.00000000001,184.2536099197298,5505
144,male,0.8283426151763444,True,0.0004450199923718538,71.7948717948718,1.0,676.9141949450465,999.9999999999998,5167
145,female,0.842403498537709,True,0.00024434996178087384,48.333333333333336,0.2145448661586869,7623.4856146609845,999.9999999999998,8658
146,female,0.9112699193764947,True,9.446242004166553e-05,100.0,3.231070842061445e-05,219.96347599283934,11.084004987124327,527
147,male,0.9231633892524782,True,6.72613816780164e-05,100.0,2.1726895263491405e-06,144.48363100993004,79.59745270024519,958
148,female,0.8462551889402199,True,0.0003528146571529881,50.56179775280899,0.35799236197448236,2912.8530471250106,133.65856266888875,14386
149,female,0.8829962605933249,True,0.00022079002138538715,90.9090909090909,0.35660069201966305,629.4901341147084,31.23038569657222,4585
150,male,0.8388118197012305,True,0.0003836785523730205,93.61702127659575,1.0,302.5453089795266,323.3562953279812,7288
152,female,0.7498083595688068,True,0.00041779169934402094,100.0,0.16222083805822649,257.25342813371793,51.64150664264069,1801
153,female,0.8818898219184471,True,0.00012463098322404857,92.85714285714286,0.29580163706379003,140.62304739378752,999.9999999999998,1566
154,female,0.8843565519850232,True,0.0002621379616548617,82.6086956521739,0.13795883018066624,1633.326347220343,25.80642871129742,2755
155,male,0.9764610688103708,True,0.00014117441317249309,56.730769230769226,3.1005907559968414e-06,6362.00806601526,999.9999999999998,8677
156,female,0.9121656653291569,True,8.498817623896e-05,87.5,0.0031837950830040014,10000.00000000001,0.0018546867769862261,930
157,male,0.7684923198642193,True,0.00028611628035661704,100.0,0.4271745651530067,115.85199742842879,12.835608017502297,725
158,male,0.8672426310232988,True,0.00027065982354019684,76.63551401869158,0.2752111777114673,444.04291750437517,999.9999999999998,17391
159,female,0.8413258003205751,True,0.00022630482525163464,60.0,0.12253603081188368,10000.00000000001,999.9999999999998,797
160,female,0.792288214786333,True,0.00023931822857674035,92.85714285714286,1.0,330.63730881438937,4.155822829659811,1839
161,male,0.9901842597348447,True,2.9795273697318836e-05,92.5925925925926,0.0762007114654046,100.00000000000004,999.9999999999998,3609
162,male,0.8524909596583734,True,0.00015995470001526257,90.0,0.03334447994922547,200.24669513415208,181.27655853608505,870
163,female,0.938426666466952,True,0.00017650128852048533,100.0,0.01292590063193664,465.3703370357904,72.15036007411553,488
164,female,0.8180497827528648,True,0.0003075489604913578,71.7948717948718,0.0018209158619358666,10000.00000000001,999.9999999999998,5617
165,male,0.846720704746329,True,0.00035807511641713875,57.14285714285714,0.5880554950940354,3373.215012216065,999.9999999999998,11446
166,female,0.9372261259417284,True,6.366987625339796e-05,100.0,0.00038794076953227387,10000.00000000001,0.20058557402220276,2220
167,male,0.8957612975631668,True,0.00016750614125482556,91.85185185185185,0.16930651297977567,361.0193503228387,73.10638559357055,18238
168,male,0.9105399448744026,True,0.00014637260179648968,80.3921568627451,0.0267743513758899,602.7149354544036,68.33810604711351,6521
169,male,0.8380771512673302,True,0.00038826924379010866,51.515151515151516,1.0,444.0346843079755,999.9999999999998,3935
170,male,0.9384002660531979,True,0.00011807946693872315,95.55555555555556,0.31079984052126014,1513.7255833234892,6.51461350966143,4978
171,male,0.8864778838438155,True,0.00010648840900864939,84.0,1.0,391.0669764476003,999.9999999999998,2571
172,female,0.857330027481633,True,0.00024315973092331182,100.0,0.006064758337943741,100.00000000000004,82.15780339132026,1292
173,male,1.082104253959497,True,7.83893481257212e-05,70.0,0.00023849281980473775,2191.6329485032106,33.60680176001391,5644
174,male,0.912797014850165,True,7.437743049504313e-05,80.0,0.558866870223383,287.31505101204107,4.7206279823189625,1172
175,male,0.847632967251601,True,0.00025770454773587167,11.11111111111111,0.7581683429853489,1029.8572417406808,4.5331052136302095,1556
176,male,0.9148936470057615,True,7.834520094376172e-05,94.11764705882352,0.0008347173204807271,122.88811975589024,108.94595291046781,4075
177,female,0.9457791208184808,True,0.0001076226196529723,90.0,1.0,192.93127413726413,253.95548000879674,2144
178,female,0.8747368907914223,True,0.00019327593849857293,42.04545454545455,6.003151236527557e-06,10000.00000000001,239.86149618525403,9850
179,female,0.8615862850927243,True,0.00018405969186263943,75.0,0.0004416629753996892,508.5574099975067,0.0010455489990887563,535
