,SI,t
0,8.820638983675294e-05,60.0
1,8.834343848239435e-05,61.0
2,8.860733715342627e-05,62.0
3,8.899480876184068e-05,63.0
4,8.948192441416775e-05,64.0
5,9.005098279574909e-05,65.0
6,9.068850328188758e-05,66.0
7,9.138400559260025e-05,67.0
8,9.212927429275821e-05,68.0
9,9.291750002890895e-05,69.0
10,9.37432909655859e-05,70.0
11,9.460217494918326e-05,71.0
12,9.549044633868422e-05,72.0
13,9.640495349054097e-05,73.0
14,9.686243113779336e-05,74.0
15,9.72302694610976e-05,75.0
16,9.750658568167239e-05,76.0
17,9.770809017565022e-05,77.0
18,9.784773161578373e-05,78.0
19,9.793567254482794e-05,79.0
20,9.798004946813263e-05,80.0
21,9.798748582462187e-05,81.0
22,9.796344751695586e-05,82.0
23,9.791249517143425e-05,83.0
24,9.783846701793024e-05,84.0
25,9.774461423531847e-05,85.0
26,9.763370320472446e-05,86.0
27,9.750809441968687e-05,87.0
28,9.736980475403436e-05,88.0
29,9.72204741909307e-05,89.0
30,9.706165992976642e-05,90.0
31,9.689461601585925e-05,91.0
32,9.672040913691014e-05,92.0
33,9.653994447740475e-05,93.0
34,9.63539883000925e-05,94.0
35,9.616326519268283e-05,95.0
36,9.596824361491959e-05,96.0
37,9.576938276750783e-05,97.0
38,9.556706829943839e-05,98.0
39,9.536162369685456e-05,99.0
40,9.51533201065802e-05,100.0
41,9.494238476823744e-05,101.0
42,9.472900821249638e-05,102.0
43,9.451335036918947e-05,103.0
44,9.429554571746922e-05,104.0
45,9.40757075991339e-05,105.0
46,9.385393180398736e-05,106.0
47,9.363033966332688e-05,107.0
48,9.340496494372589e-05,108.0
49,9.317786709248491e-05,109.0
50,9.294909685160731e-05,110.0
51,9.271871973891952e-05,111.0
52,9.248676350280358e-05,112.0
53,9.225326264672808e-05,113.0
54,9.201824962188924e-05,114.0
55,9.178175167993366e-05,115.0
56,9.154379024775653e-05,116.0
57,9.130439608308687e-05,117.0
58,9.10635688901249e-05,118.0
59,9.082134719849613e-05,119.0
60,9.057775545475123e-05,120.0
61,9.033280993976478e-05,121.0
62,9.008648615136147e-05,122.0
63,8.98388429198045e-05,123.0
64,8.958989297523709e-05,124.0
65,8.933964879691904e-05,125.0
66,8.908802595680022e-05,126.0
67,8.800959224219163e-05,127.0
68,8.690768688271317e-05,128.0
69,8.578258338681122e-05,129.0
70,8.463813763910355e-05,130.0
71,8.347759523123188e-05,131.0
72,8.230369572429125e-05,132.0
73,8.111881136206142e-05,133.0
74,8.035383372076611e-05,134.0
75,7.965673090883072e-05,135.0
76,7.902447381745964e-05,136.0
77,7.844164792993914e-05,137.0
78,7.789673965139267e-05,138.0
79,7.738099892499905e-05,139.0
80,7.688762010180738e-05,140.0
