,SI,t
0,-2.676379732892015e-05,60.0
1,-2.6302447089229103e-05,61.0
2,-2.587413842483457e-05,62.0
3,-2.547603162946891e-05,63.0
4,-2.5100328282634543e-05,64.0
5,-2.4741382751172993e-05,65.0
6,-2.4394999445086916e-05,66.0
7,-2.4057994454499793e-05,67.0
8,-2.372791112466493e-05,68.0
9,-2.3402829258932685e-05,69.0
10,-2.30812333863423e-05,70.0
11,-2.2761919457373436e-05,71.0
12,-2.2443927207226967e-05,72.0
13,-2.2126490056219926e-05,73.0
14,-2.180899723430106e-05,74.0
15,-2.149096458444488e-05,75.0
16,-2.1172011639110682e-05,76.0
17,-2.0851843315175817e-05,77.0
18,-2.0530235076703236e-05,78.0
19,-2.0207020756857433e-05,79.0
20,-1.988208246361127e-05,80.0
21,-1.9555342153251117e-05,81.0
22,-1.9226754564414527e-05,82.0
23,-1.8896301279607094e-05,83.0
24,-1.8221929925558067e-05,84.0
25,-1.7529036635402273e-05,85.0
26,-1.6819457382517124e-05,86.0
27,-1.609724893069264e-05,87.0
28,-1.536559035312958e-05,88.0
29,-1.462700928651124e-05,89.0
30,-1.3883537830069616e-05,90.0
31,-1.31368232932609e-05,91.0
32,-1.2388208989440165e-05,92.0
33,-1.1638794581909952e-05,93.0
34,-1.0889482118461216e-05,94.0
35,-1.0141011823299831e-05,95.0
36,-9.393990407363892e-06,96.0
37,-8.648913807520114e-06,97.0
38,-7.906185698553956e-06,98.0
39,-7.166132736748731e-06,99.0
40,-6.429017227956876e-06,100.0
41,-5.6950477276304065e-06,101.0
42,-4.964387950373575e-06,102.0
43,-4.237164275587041e-06,103.0
44,-3.5134720721773253e-06,104.0
45,-2.793381020815298e-06,105.0
46,-2.07693958080272e-06,106.0
47,-1.3641787258230054e-06,107.0
48,-6.55115055595235e-07,108.0
49,5.024662338517904e-08,109.0
50,7.519111665787981e-07,110.0
51,1.4498913385574544e-06,111.0
52,2.1442063769571388e-06,112.0
53,2.834880820181831e-06,113.0
54,3.521943553562706e-06,114.0
55,4.205427035530708e-06,115.0
56,4.8853666712319606e-06,116.0
57,5.561800305848578e-06,117.0
58,6.2347678137021455e-06,118.0
59,6.904310762276035e-06,119.0
60,7.570472133132142e-06,120.0
61,8.233296085069683e-06,121.0
62,8.892827749205437e-06,122.0
63,9.549113050487806e-06,123.0
64,1.020219855407709e-05,124.0
65,1.0852131336675487e-05,125.0
66,1.1498958882177023e-05,126.0
67,1.214272899915143e-05,127.0
68,1.2783489756176241e-05,128.0
69,1.3421289430598504e-05,129.0
70,1.4056176466816263e-05,130.0
71,1.468819944110912e-05,131.0
72,1.5317407030988445e-05,132.0
73,1.5943847987782278e-05,133.0
74,1.656757111167007e-05,134.0
75,1.7188625228697654e-05,135.0
76,1.780705916947934e-05,136.0
77,1.8422921749396645e-05,137.0
78,1.9036261750157697e-05,138.0
79,1.9647127902610087e-05,139.0
80,2.025556887072115e-05,140.0
81,2.0861633236647782e-05,141.0
82,2.1465369486830412e-05,142.0
83,2.2066825999049017e-05,143.0
84,2.2382281481811523e-05,144.0
85,2.271006241740254e-05,145.0
86,2.305082980743696e-05,146.0
87,2.3402325336871623e-05,147.0
88,2.376273239940008e-05,148.0
89,2.3842366107397192e-05,149.0
90,2.3916734879585447e-05,150.0
91,2.398442103384845e-05,151.0
92,2.4045999748761235e-05,152.0
93,2.4101905381445378e-05,153.0
94,2.4152474029358445e-05,154.0
95,2.4197972053648717e-05,155.0
96,2.4238615584626043e-05,156.0
97,2.4274584064102097e-05,157.0
98,2.4306029742674748e-05,158.0
99,2.43330843738612e-05,159.0
100,2.435586393472119e-05,160.0
101,2.4374471945171373e-05,161.0
102,2.438900179286605e-05,162.0
103,2.4399538360276977e-05,163.0
104,2.4406159173370224e-05,164.0
105,2.4408935234055476e-05,165.0
106,2.44079316541077e-05,166.0
107,2.4403208172761882e-05,167.0
108,2.4394819611908813e-05,168.0
109,2.438281630095387e-05,169.0
110,2.4367244487365255e-05,170.0
111,2.4348146738076857e-05,171.0
112,2.4325562330349072e-05,172.0
113,2.4299527627461462e-05,173.0
114,2.427007643373485e-05,174.0
115,2.4237240324035864e-05,175.0
116,2.420104894448523e-05,176.0
117,2.416153028314346e-05,177.0
118,2.4118710911688128e-05,178.0
119,2.407261620114435e-05,179.0
120,2.40232705160518e-05,180.0
121,2.3970697391375147e-05,181.0
122,2.3914919694703862e-05,182.0
123,2.3855959773465864e-05,183.0
124,2.3793839584557846e-05,184.0
125,2.372858080341951e-05,185.0
126,2.3660204911273175e-05,186.0
127,2.3588733261809468e-05,187.0
128,2.351418713056468e-05,188.0
129,2.3436587750959167e-05,189.0
130,2.3355956340640474e-05,190.0
131,2.3272314120958218e-05,191.0
132,2.3185682331541494e-05,192.0
133,2.3096082241267863e-05,193.0
134,2.3003535156455503e-05,194.0
135,2.2908062426823366e-05,195.0
136,2.28096854496034e-05,196.0
137,2.2708425672093257e-05,197.0
138,2.2604304592883467e-05,198.0
139,2.249734376195929e-05,199.0
140,2.2387564779849716e-05,200.0
141,2.2274989295978153e-05,201.0
142,2.215963900634749e-05,202.0
143,2.2041535650679083e-05,203.0
144,2.192070100910756e-05,204.0
145,2.179715689851937e-05,205.0
146,2.167092516861308e-05,206.0
147,2.1542027697743684e-05,207.0
148,2.1410577626987396e-05,208.0
149,2.1549747917078886e-05,209.0
150,2.1695571997144848e-05,210.0
151,2.184837642201706e-05,211.0
152,2.200695247567007e-05,212.0
153,2.217034088267897e-05,213.0
154,2.233776652966883e-05,214.0
155,2.250859331984145e-05,215.0
156,2.268229223123095e-05,216.0
157,2.2858418270346764e-05,217.0
158,2.303659355740738e-05,218.0
159,2.3216494719638352e-05,219.0
160,2.3397843358409075e-05,220.0
161,2.3580398735444403e-05,221.0
162,2.376395207425543e-05,222.0
163,2.3948322043434863e-05,223.0
164,2.4133351107672884e-05,224.0
165,2.431890251808132e-05,225.0
166,2.4504857776577867e-05,226.0
167,2.4691114456333115e-05,227.0
168,2.4877584295696678e-05,228.0
169,2.5064191509193936e-05,229.0
170,2.525087127795526e-05,230.0
171,2.543756839478382e-05,231.0
172,2.5624236047306054e-05,232.0
173,2.5917845818077774e-05,233.0
174,2.6203715848338837e-05,234.0
175,2.6481210015075615e-05,235.0
176,2.6751478495569683e-05,236.0
177,2.701546588315792e-05,237.0
178,2.7273959768487245e-05,238.0
179,2.7527625357615154e-05,239.0
180,2.7777030633894278e-05,240.0
181,2.8022664966563577e-05,241.0
182,2.8264953089559663e-05,242.0
183,2.8504265758236988e-05,243.0
184,2.8740927993962872e-05,244.0
185,2.8975225562960345e-05,245.0
186,2.920741015635316e-05,246.0
187,2.9437703612695024e-05,247.0
188,2.9666301433535007e-05,248.0
189,2.989337577516859e-05,249.0
190,3.0119078048553607e-05,250.0
191,3.034354122018809e-05,251.0
192,3.0566881877007324e-05,252.0
193,3.078920209641419e-05,253.0
194,3.101059114715406e-05,254.0
195,3.1231127036705726e-05,255.0
196,3.1450877915021495e-05,256.0
197,3.1669903341658174e-05,257.0
198,3.1888255422555336e-05,258.0
199,3.210597982306452e-05,259.0
200,3.232311666466225e-05,260.0
201,3.253970131364304e-05,261.0
202,3.2755765070726695e-05,262.0
203,3.297133577078919e-05,263.0
204,3.318643830180582e-05,264.0
205,3.340109505160512e-05,265.0
206,3.361532629028437e-05,266.0
207,3.382915049532901e-05,267.0
208,3.4042584625860516e-05,268.0
209,3.425564435222945e-05,269.0
210,3.446834424732069e-05,270.0
211,3.468069794610954e-05,271.0
212,3.489271827973036e-05,272.0
213,3.51044173893982e-05,273.0
214,3.5315806824193024e-05,274.0
215,3.552689762543031e-05,275.0
216,3.573770039942897e-05,276.0
217,3.5948225380003e-05,277.0
218,3.6158482481811755e-05,278.0
219,3.6368481345645425e-05,279.0
220,3.65782313766875e-05,280.0
221,3.6787741776739525e-05,281.0
222,3.699702157130875e-05,282.0
223,3.720607963235913e-05,283.0
224,3.741492469741956e-05,284.0
225,3.762356538564382e-05,285.0
226,3.783201021132284e-05,286.0
227,3.804026759527044e-05,287.0
228,3.824834587443507e-05,288.0
229,3.845625331002987e-05,289.0
230,3.866399809442718e-05,290.0
231,3.8871588357019545e-05,291.0
232,3.907903216921864e-05,292.0
233,3.9183994535018834e-05,293.0
234,3.930081162236288e-05,294.0
235,3.9429994468802355e-05,295.0
236,3.9569573717374295e-05,296.0
237,3.971797219560319e-05,297.0
238,3.9873906301489534e-05,298.0
239,4.003631677255246e-05,299.0
240,4.020431903712675e-05,300.0
241,4.037716694478811e-05,301.0
242,4.0554225833519194e-05,302.0
243,4.073495222904954e-05,303.0
244,4.091887832317417e-05,304.0
245,4.110559993382317e-05,305.0
246,4.1294767022095674e-05,306.0
247,4.148607609763308e-05,307.0
248,4.167926402474777e-05,308.0
249,4.187410287309518e-05,309.0
250,4.2070395554090664e-05,310.0
251,4.226797205740501e-05,311.0
252,4.246668615672639e-05,312.0
253,4.2666412494455905e-05,313.0
254,4.286704398393555e-05,314.0
255,4.306845215627185e-05,315.0
