,SI,t
0,-0.00010237566591222644,60.0
1,-0.000101698697908429,61.0
2,-0.00010113345986343754,62.0
3,-0.00010067287772173386,63.0
4,-0.00010029362994222834,64.0
5,-9.997876394227506e-05,65.0
6,-9.971560053091362e-05,66.0
7,-9.94943838797487e-05,67.0
8,-9.930755800035296e-05,68.0
9,-9.914907933152175e-05,69.0
10,-9.901407289933157e-05,70.0
11,-9.889856013036679e-05,71.0
12,-9.87992628942468e-05,72.0
13,-9.87134595443788e-05,73.0
14,-9.863887714917695e-05,74.0
15,-9.857360935238667e-05,75.0
16,-9.851605266364606e-05,76.0
17,-9.846484511983961e-05,77.0
18,-9.760936004394052e-05,78.0
19,-9.671005187976489e-05,79.0
20,-9.576688817356612e-05,80.0
21,-9.478888169791764e-05,81.0
22,-9.378318008541931e-05,82.0
23,-9.275553262922106e-05,83.0
24,-9.171061788679891e-05,84.0
25,-9.065227908517332e-05,85.0
26,-8.958369685946512e-05,86.0
27,-8.850751844303881e-05,87.0
28,-8.742595600802745e-05,88.0
29,-8.634086278027428e-05,89.0
30,-8.5253792898222e-05,90.0
31,-8.416604921523492e-05,91.0
32,-8.307872203944369e-05,92.0
33,-8.199272096876299e-05,93.0
34,-8.090880138886402e-05,94.0
35,-7.982758678063918e-05,95.0
36,-7.874958768044055e-05,96.0
37,-7.767521791747031e-05,97.0
38,-7.660480859513066e-05,98.0
39,-7.553862017055652e-05,99.0
40,-7.447685290690532e-05,100.0
41,-7.341965591712944e-05,101.0
42,-7.236713497890127e-05,102.0
43,-7.13193592727623e-05,103.0
44,-7.027636717549947e-05,104.0
45,-6.923817122541818e-05,105.0
46,-6.82047623637184e-05,106.0
47,-6.717611354591084e-05,107.0
48,-6.615218280779729e-05,108.0
49,-6.513291585243402e-05,109.0
50,-6.411824824022948e-05,110.0
51,-6.310810722889938e-05,111.0
52,-6.210241331788458e-05,112.0
53,-6.110108154190133e-05,113.0
54,-6.010402255217135e-05,114.0
55,-5.9111143518343664e-05,115.0
56,-5.812234887920131e-05,116.0
57,-5.7137540965992236e-05,117.0
58,-5.6156620518608944e-05,118.0
59,-5.517948711180402e-05,119.0
60,-5.4206039506043845e-05,120.0
61,-5.3236175935382124e-05,121.0
62,-5.226979434280348e-05,122.0
63,-5.130679257181804e-05,123.0
64,-5.0347068521649974e-05,124.0
65,-4.9390520272148835e-05,125.0
66,-4.843704618352502e-05,126.0
67,-4.748654497515747e-05,127.0
68,-4.653891578700552e-05,128.0
69,-4.559405822656464e-05,129.0
70,-4.4651872403810776e-05,130.0
71,-4.371225895616812e-05,131.0
72,-4.277511906519135e-05,132.0
73,-4.1840354466370074e-05,133.0
74,-4.090786745322591e-05,134.0
75,-3.997756087667379e-05,135.0
76,-3.90493381404572e-05,136.0
77,-3.812312204634037e-05,137.0
78,-3.7871537840799936e-05,138.0
79,-3.763768918116214e-05,139.0
80,-3.7421379614256784e-05,140.0
81,-3.721958001561747e-05,141.0
82,-3.702991599119826e-05,142.0
83,-3.6850493283324935e-05,143.0
84,-3.667977792088854e-05,144.0
85,-3.651651182452759e-05,145.0
86,-3.635965204405279e-05,146.0
87,-3.620832614275437e-05,147.0
88,-3.606180919004822e-05,148.0
89,-3.5047782348658105e-05,149.0
90,-3.402289724997847e-05,150.0
91,-3.298723861378832e-05,151.0
92,-3.194236943829313e-05,152.0
93,-3.088951805900627e-05,153.0
94,-2.9829657969242298e-05,154.0
95,-2.876356509299861e-05,155.0
96,-2.7691859625968545e-05,156.0
97,-2.6615037111693044e-05,157.0
98,-2.553349188763072e-05,158.0
99,-2.4447535050086378e-05,159.0
100,-2.3357408436201727e-05,160.0
101,-2.2263295681459267e-05,161.0
102,-2.1165331107660432e-05,162.0
103,-2.0063606983082514e-05,163.0
104,-1.895817954456152e-05,164.0
105,-1.7849074062000562e-05,165.0
106,-1.6736289147046e-05,166.0
107,-1.5619800451121612e-05,167.0
108,-1.4499563857860229e-05,168.0
109,-1.3375837612403099e-05,169.0
110,-1.22482262829917e-05,170.0
111,-1.11166414454107e-05,171.0
112,-9.980983922275047e-06,172.0
113,-8.841145300679446e-06,173.0
114,-7.697009222664268e-06,174.0
115,-6.5484524751069215e-06,175.0
116,-5.395345903740917e-06,176.0
117,-4.237555174112152e-06,177.0
118,-3.0749414002552833e-06,178.0
119,-1.9073616597190785e-06,179.0
120,-7.34669411435486e-07,180.0
121,4.4328516906300553e-07,181.0
122,1.6266549243427614e-06,182.0
123,2.815595508496479e-06,183.0
124,4.010265229464714e-06,184.0
125,5.210824931668283e-06,185.0
126,6.417437911582545e-06,186.0
127,7.630269860140959e-06,187.0
128,8.849488827156605e-06,188.0
129,1.0075265204228586e-05,189.0
130,1.1307771723710365e-05,190.0
131,1.2547183472117902e-05,191.0
132,1.3793677916772938e-05,192.0
133,1.5047434944580101e-05,193.0
134,1.630863691174938e-05,194.0
135,1.7577468703172114e-05,195.0
136,1.885411780012833e-05,196.0
137,2.0138774355083526e-05,197.0
138,2.1431631272497528e-05,198.0
139,2.2732846600104604e-05,199.0
140,2.341313298259931e-05,200.0
141,2.409217673228985e-05,201.0
142,2.476930299775568e-05,202.0
143,2.5444835650718083e-05,203.0
144,2.6119057330190734e-05,204.0
145,2.6792218561278664e-05,205.0
146,2.746454436468232e-05,206.0
147,2.8136239095034203e-05,207.0
148,2.8807507314900718e-05,208.0
149,2.8592289223213545e-05,209.0
150,2.8377396955444548e-05,210.0
151,2.8163657125513737e-05,211.0
152,2.7949876098989104e-05,212.0
153,2.773509476903965e-05,213.0
154,2.751853100260716e-05,214.0
155,2.7299538740361652e-05,215.0
156,2.7077578382623203e-05,216.0
157,2.685219499378204e-05,217.0
158,2.6623002024743833e-05,218.0
159,2.6389668990142455e-05,219.0
160,2.6151912015127492e-05,220.0
161,2.59094864843759e-05,221.0
162,2.5662181242533276e-05,222.0
163,2.5409813946388375e-05,223.0
164,2.5152227276928566e-05,224.0
165,2.488928579789571e-05,225.0
166,2.4620873305405044e-05,226.0
167,2.4346890556254676e-05,227.0
168,2.4067253294512018e-05,228.0
169,2.3782337838418733e-05,229.0
170,2.3491627626957292e-05,230.0
171,2.3195073680809918e-05,231.0
172,2.2892636191116617e-05,232.0
173,2.2584283443084812e-05,233.0
174,2.226999086443126e-05,234.0
175,2.1949740187645564e-05,235.0
176,2.1623518715419524e-05,236.0
177,2.1291318678415545e-05,237.0
178,2.0953136674315305e-05,238.0
179,2.0608973177253508e-05,239.0
180,2.0258832107752743e-05,240.0
181,1.9902720455247747e-05,241.0
182,1.9540647947856847e-05,242.0
183,1.917262676637138e-05,243.0
184,1.879867130066312e-05,244.0
185,1.8418797946563017e-05,245.0
186,1.8033024940165196e-05,246.0
187,1.764137222519193e-05,247.0
188,1.7243861348102033e-05,248.0
189,1.6840515375264686e-05,249.0
190,1.6431358826732066e-05,250.0
191,1.6016417621811712e-05,251.0
192,1.559571903260798e-05,252.0
193,1.5169291642784382e-05,253.0
194,1.4737165309815715e-05,254.0
195,1.4299371129792996e-05,255.0
196,1.3855941404366213e-05,256.0
197,1.3406909609679918e-05,257.0
198,1.2952310367246346e-05,258.0
199,1.2492216830277888e-05,259.0
200,1.2696231072546951e-05,260.0
201,1.2902157460136561e-05,261.0
202,1.311038621420911e-05,262.0
203,1.3320678469496393e-05,263.0
204,1.353283607928161e-05,264.0
205,1.3746692469833787e-05,265.0
206,1.3962105966677274e-05,266.0
207,1.417895485571813e-05,267.0
208,1.4397133684561301e-05,268.0
209,1.461655046396217e-05,269.0
210,1.4837124530293541e-05,270.0
211,1.5058784897257654e-05,271.0
212,1.5281468971009465e-05,272.0
213,1.550512153496737e-05,273.0
214,1.57296939336944e-05,274.0
215,1.595514340239181e-05,275.0
216,1.6181360116836744e-05,276.0
217,1.6066942797519733e-05,277.0
218,1.5946772620890723e-05,278.0
219,1.5820709786464823e-05,279.0
220,1.5689171579798782e-05,280.0
221,1.5552507733656052e-05,281.0
222,1.541101464985153e-05,282.0
223,1.5264945931003172e-05,283.0
224,1.5114520302765886e-05,284.0
225,1.4959927661714186e-05,285.0
226,1.4801333759418472e-05,286.0
227,1.4638883883689558e-05,287.0
228,1.4472705796123443e-05,288.0
229,1.4302912114234412e-05,289.0
230,1.4129602276126403e-05,290.0
231,1.3952864189138806e-05,291.0
232,1.377277563693428e-05,292.0
233,1.358940549932253e-05,293.0
234,1.3402814823999624e-05,294.0
235,1.3213057778206555e-05,295.0
236,1.3020182500312799e-05,296.0
237,1.2824231865875434e-05,297.0
238,1.2625244179154596e-05,298.0
239,1.2423253798639309e-05,299.0
240,1.2218291703110743e-05,300.0
241,1.2010386002690215e-05,301.0
242,1.179956239724512e-05,302.0
243,1.1585844583031525e-05,303.0
244,1.1369254608137724e-05,304.0
245,1.1149813178247369e-05,305.0
246,1.0927539915899233e-05,306.0
247,1.0702453577957208e-05,307.0
248,1.0474572236857822e-05,308.0
249,1.0243913431266945e-05,309.0
250,1.0010494291283062e-05,310.0
251,9.774331642570309e-06,311.0
252,9.535442093029688e-06,312.0
253,9.293842104935853e-06,313.0
254,9.049548054917459e-06,314.0
255,8.80257628372684e-06,315.0
256,8.552943137411409e-06,316.0
257,8.300665001233826e-06,317.0
258,8.045758327475431e-06,318.0
259,7.788239658082034e-06,319.0
260,7.528125642965561e-06,320.0
261,7.265433054649909e-06,321.0
262,7.000178799845375e-06,322.0
263,6.7323799284450414e-06,323.0
264,6.462053640360531e-06,324.0
265,6.189217290548115e-06,325.0
266,5.913888392521777e-06,326.0
267,5.636084620601598e-06,327.0
268,5.355823811106065e-06,328.0
269,5.073123962663166e-06,329.0
270,4.788003235786998e-06,330.0
271,4.500479951841974e-06,331.0
