,SI,t
0,1.4469951230535016e-05,60.0
1,1.4767385664190478e-05,61.0
2,1.508457416064993e-05,62.0
3,1.5421706121542782e-05,63.0
4,1.5775691833704685e-05,64.0
5,1.6144224645234953e-05,65.0
6,1.6525549993404645e-05,66.0
7,1.691829438784874e-05,67.0
8,1.732126163725336e-05,68.0
9,1.773364457565388e-05,69.0
10,1.8154688195883336e-05,70.0
11,1.858375212659043e-05,71.0
12,1.9020286246688313e-05,72.0
13,1.9463813095250065e-05,73.0
14,1.9913914952962333e-05,74.0
15,2.037022416772641e-05,75.0
16,2.0832415748945815e-05,76.0
17,2.130020155769311e-05,77.0
18,2.1773325628040784e-05,78.0
19,2.225156030036744e-05,79.0
20,2.2734702949618995e-05,80.0
21,2.3222573162405957e-05,81.0
22,2.3715010264848168e-05,82.0
23,2.4211871134710024e-05,83.0
24,2.4713028251891148e-05,84.0
25,2.521836795481137e-05,85.0
26,2.57277888793033e-05,86.0
27,2.624120056268273e-05,87.0
28,2.675852219936301e-05,88.0
29,2.7279681536209088e-05,89.0
30,2.780461389638844e-05,90.0
31,2.8333261320416276e-05,91.0
32,2.8865571812955305e-05,92.0
33,2.9401498684042345e-05,93.0
34,2.9940999973683916e-05,94.0
35,3.048403795043327e-05,95.0
36,3.103057867393802e-05,96.0
37,3.1580591613598286e-05,97.0
38,3.213404931625222e-05,98.0
39,3.269092711646164e-05,99.0
40,3.3251202883828204e-05,100.0
41,3.3814856802451835e-05,101.0
42,3.438187117825584e-05,102.0
43,3.495223027043943e-05,103.0
44,3.552592014379992e-05,104.0
45,3.610292853909269e-05,105.0
46,3.668324475897329e-05,106.0
47,3.726685956739911e-05,107.0
48,3.7853765100654576e-05,108.0
49,3.8443954788422496e-05,109.0
50,3.9037423283539695e-05,110.0
51,3.963416639926838e-05,111.0
52,4.023418105307849e-05,112.0
53,4.083746521607784e-05,113.0
54,4.14439900964355e-05,114.0
55,4.0953838547491555e-05,115.0
56,4.04142952677614e-05,116.0
57,3.9827089260418945e-05,117.0
58,3.920042950332297e-05,118.0
59,3.8540764870782135e-05,119.0
60,3.785325639007462e-05,120.0
61,3.71420963792327e-05,121.0
62,3.641073122762056e-05,122.0
63,3.566202133347963e-05,123.0
64,3.489835879679183e-05,124.0
65,3.412175597054617e-05,125.0
66,3.333391345624072e-05,126.0
67,3.2536273313836354e-05,127.0
68,3.1730061446944995e-05,128.0
69,3.0916321928284134e-05,129.0
70,3.0095945220308307e-05,130.0
71,2.9269691685652805e-05,131.0
72,2.843821138897826e-05,132.0
73,2.7602060914390456e-05,133.0
74,2.676171772744016e-05,134.0
75,2.5917592474984193e-05,135.0
76,2.5070039523428515e-05,136.0
77,2.4219365973567514e-05,137.0
78,2.3365839348705988e-05,138.0
79,2.250969412466304e-05,139.0
80,2.1651137250255703e-05,140.0
81,2.0790352791344897e-05,141.0
82,1.9927505818247026e-05,142.0
83,1.906274564407378e-05,143.0
84,1.8196208509849655e-05,144.0
85,1.732801980097264e-05,145.0
86,1.645829586885429e-05,146.0
87,1.5587145521634936e-05,147.0
88,1.471467123899537e-05,148.0
89,1.3840970158570803e-05,149.0
90,1.29661348755226e-05,150.0
91,1.2090254092331142e-05,151.0
92,1.1213413151989775e-05,152.0
93,1.0335694482856114e-05,153.0
94,9.45717797602832e-06,154.0
95,8.57794130565134e-06,155.0
96,7.698060195730131e-06,156.0
97,6.817608633136075e-06,157.0
98,5.936659029480338e-06,158.0
99,5.055282339423892e-06,159.0
100,4.173548145648744e-06,160.0
101,3.2915247204065073e-06,161.0
102,2.4092790714022805e-06,162.0
103,1.526876977298445e-06,163.0
104,6.443830161628097e-07,164.0
105,-2.3813941110276153e-07,165.0
106,-1.1206280610638664e-06,166.0
107,-2.0030218309157874e-06,167.0
108,-2.8852607438665153e-06,168.0
109,-3.76728593624172e-06,169.0
110,-4.649039645902194e-06,170.0
111,-5.530465201636925e-06,171.0
112,-6.411507013252166e-06,172.0
113,-7.292110562125978e-06,173.0
114,-8.172204077000901e-06,174.0
115,-8.152347095822462e-06,175.0
116,-8.140039655766286e-06,176.0
117,-8.13520855655052e-06,177.0
118,-8.136605852326955e-06,178.0
119,-8.143287895619609e-06,179.0
120,-8.15452264201851e-06,180.0
121,-8.169729747617942e-06,181.0
122,-8.188440532301891e-06,182.0
123,-8.210270450221193e-06,183.0
124,-8.234899694947103e-06,184.0
125,-8.26205924282534e-06,185.0
126,-8.291520616764042e-06,186.0
127,-8.323088244483147e-06,187.0
128,-8.3565936545615e-06,188.0
129,-8.391890990979628e-06,189.0
130,-8.428853483809937e-06,190.0
131,-8.467370620330328e-06,191.0
132,-8.507345835049309e-06,192.0
133,-8.548694589730376e-06,193.0
134,-8.591342752149338e-06,194.0
135,-8.635225209215405e-06,195.0
136,-8.680284669075611e-06,196.0
137,-8.726470619930527e-06,197.0
138,-8.773738422093502e-06,198.0
139,-8.822048515562274e-06,199.0
140,-8.871365729015117e-06,200.0
141,-8.921658678436765e-06,201.0
142,-8.972899245040737e-06,202.0
143,-9.025062123145847e-06,203.0
144,-9.07812442939679e-06,204.0
145,-9.132065365335069e-06,205.0
146,-9.186865925908585e-06,206.0
147,-9.242508647154046e-06,207.0
148,-9.298977387108865e-06,208.0
149,-9.356257135195027e-06,209.0
150,-9.414333847023348e-06,210.0
151,-9.473194303770162e-06,211.0
152,-9.532825997375135e-06,212.0
153,-9.593217043484259e-06,213.0
154,-9.654356121910018e-06,214.0
155,-9.716232439614614e-06,215.0
156,-9.778835706659175e-06,216.0
157,-9.842156114707296e-06,217.0
158,-9.9061843112369e-06,218.0
159,-9.970911367868841e-06,219.0
160,-1.00363287449534e-05,220.0
161,-1.0102428255682086e-05,221.0
162,-1.0169202032339836e-05,222.0
163,-1.0236642496105957e-05,223.0
164,-1.0304742330805517e-05,224.0
165,-1.0373494460403759e-05,225.0
166,-1.0442892029767954e-05,226.0
167,-1.0512928388155564e-05,227.0
168,-1.0583597074927889e-05,228.0
169,-1.0654891807061861e-05,229.0
170,-1.072680646811576e-05,230.0
171,-1.079933509837394e-05,231.0
