,SI,t
0,7.85727686191124e-06,60.0
1,8.588645554217194e-06,61.0
2,9.317738571043083e-06,62.0
3,1.0046991615367753e-05,63.0
4,1.0776409462862953e-05,64.0
5,1.1505984721947283e-05,65.0
6,1.2235708008081246e-05,66.0
7,1.2965566065354432e-05,67.0
8,1.3695509505376195e-05,68.0
9,1.4425551086163424e-05,69.0
10,1.5155668068567497e-05,70.0
11,1.588583705723113e-05,71.0
12,1.6616035429735346e-05,72.0
13,1.734624268604205e-05,73.0
14,1.807644164139388e-05,74.0
15,1.8806619412417393e-05,75.0
16,1.9536768169188073e-05,76.0
17,2.0266885646599646e-05,77.0
18,2.099697542606233e-05,78.0
19,2.172704701229578e-05,79.0
20,2.2457115738931597e-05,80.0
21,2.3187202540566977e-05,81.0
22,2.391733362838317e-05,82.0
23,2.4647540094411858e-05,83.0
24,2.5377857506706648e-05,84.0
25,2.6108242423684193e-05,85.0
26,2.744342774338132e-05,86.0
27,2.8767426349487054e-05,87.0
28,3.0078395050951918e-05,88.0
29,3.1377359457247585e-05,89.0
30,3.266516859983403e-05,90.0
31,3.394261259066772e-05,91.0
32,3.52104345862624e-05,92.0
33,3.64693385554181e-05,93.0
34,3.771999429465124e-05,94.0
35,3.896304061997157e-05,95.0
36,4.019908735336863e-05,96.0
37,4.142871653076072e-05,97.0
38,4.265248313613454e-05,98.0
39,4.3870915585278836e-05,99.0
40,4.508451612445776e-05,100.0
41,4.629376126418721e-05,101.0
42,4.749889019484132e-05,102.0
43,4.870054038128369e-05,103.0
44,4.9899115288144934e-05,104.0
45,5.1094995909428726e-05,105.0
46,5.2288542005149724e-05,106.0
47,5.3480093456584454e-05,107.0
48,5.4669971698022556e-05,108.0
49,5.585848118289305e-05,109.0
50,5.704591084624242e-05,110.0
51,5.8232535532049005e-05,111.0
52,5.9418617361205e-05,112.0
53,6.0604407023021676e-05,113.0
54,6.179014497898288e-05,114.0
55,6.297614930186594e-05,115.0
56,6.363382852639485e-05,116.0
57,6.434269592943931e-05,117.0
58,6.510333541529437e-05,118.0
59,6.59073009667781e-05,119.0
60,6.674829153365521e-05,120.0
61,6.76214835596149e-05,121.0
62,6.852310321723837e-05,122.0
63,6.945014289535421e-05,123.0
