,SI,t
0,-2.3089078691570667e-05,60.0
1,-2.2811455315383618e-05,61.0
2,-2.256405771458051e-05,62.0
3,-2.234455912302905e-05,63.0
4,-2.214668533216393e-05,64.0
5,-2.1965811411725408e-05,65.0
6,-2.1798524297128672e-05,66.0
7,-2.1642212703966914e-05,67.0
8,-2.149483667163101e-05,68.0
9,-2.135477451125993e-05,69.0
10,-2.122071808354831e-05,70.0
11,-2.1091599270081877e-05,71.0
12,-2.096653715405485e-05,72.0
13,-2.08449571760418e-05,73.0
14,-2.0726090083567092e-05,74.0
15,-2.060942033969434e-05,75.0
16,-2.049451273519445e-05,76.0
17,-2.0380998920736545e-05,77.0
18,-2.026856661577156e-05,78.0
19,-2.0156950828706255e-05,79.0
20,-2.0045926614681054e-05,80.0
21,-1.993530303137608e-05,81.0
22,-1.9824918047298113e-05,82.0
23,-1.971463422274621e-05,83.0
24,-1.960433502936193e-05,84.0
25,-1.949392170577301e-05,85.0
26,-1.938331056866048e-05,86.0
27,-1.9272430713758026e-05,87.0
28,-1.9161222052079603e-05,88.0
29,-1.904963363464071e-05,89.0
30,-1.8937622225173768e-05,90.0
31,-1.8825151085558584e-05,91.0
32,-1.87121889433374e-05,92.0
33,-1.8598709114964628e-05,93.0
34,-1.8484688762365143e-05,94.0
35,-1.837010826382453e-05,95.0
36,-1.8254950683091964e-05,96.0
37,-1.8139201322814685e-05,97.0
38,-1.8022847350152627e-05,98.0
39,-1.790587748382305e-05,99.0
40,-1.7788281733069362e-05,100.0
41,-1.7670051180231082e-05,101.0
42,-1.7551177799734193e-05,102.0
43,-1.7431654307398684e-05,103.0
44,-1.731147403493948e-05,104.0
45,-1.719063082539413e-05,105.0
46,-1.706922598062153e-05,106.0
47,-1.4291972476855856e-05,107.0
48,-1.1478559572186814e-05,108.0
49,-8.634323668664632e-06,109.0
50,-5.763964550725661e-06,110.0
51,-2.8709153482102527e-06,111.0
52,4.1077852972754234e-08,112.0
53,2.9714971023497396e-06,113.0
54,5.919176675964156e-06,114.0
55,8.883408634579407e-06,115.0
56,1.1863852427593845e-05,116.0
57,1.4860464992972805e-05,117.0
58,1.7873445843772003e-05,118.0
59,2.090319334028721e-05,119.0
60,2.3950269484803172e-05,120.0
61,2.701537134772558e-05,121.0
62,3.0099307763111116e-05,122.0
63,3.320298029607985e-05,123.0
64,3.6327367735591354e-05,124.0
65,3.947351353865904e-05,125.0
66,4.264251577081446e-05,126.0
67,4.583551916991876e-05,127.0
68,4.905370901869605e-05,128.0
69,5.229782131451437e-05,129.0
70,5.556957396443684e-05,130.0
71,5.887025262144397e-05,131.0
72,6.22011720900622e-05,132.0
73,6.556367575566136e-05,133.0
74,6.895913563107701e-05,134.0
75,7.238895290534067e-05,135.0
76,7.585455889919599e-05,136.0
77,7.93574163500833e-05,137.0
78,8.28990209651813e-05,138.0
79,8.648090319480826e-05,139.0
80,9.010463019007335e-05,140.0
81,9.377180791830484e-05,141.0
82,9.748408341775335e-05,142.0
83,0.00010124314717960492,143.0
84,0.00010505073565108683,144.0
85,0.00010890846682271267,145.0
86,0.00010872989242337943,146.0
87,0.00010850826237781541,147.0
88,0.00010824311012564167,148.0
89,0.00010793876392897201,149.0
90,0.00010759881029614848,150.0
91,0.00010722626217401413,151.0
92,0.00010682368045657252,152.0
93,0.0001063932634901937,153.0
94,0.00010593691416020394,154.0
95,0.00010545629098801511,155.0
96,0.00010495284765761567,156.0
97,0.00010442786407526127,157.0
98,0.00010388247118327205,158.0
99,0.00010331767113963504,159.0
100,0.00010273435404252867,160.0
101,0.0001021333120627947,161.0
102,0.00010151525161072686,162.0
103,0.00010088080398383141,163.0
104,0.00010023053480591858,164.0
105,9.956495246664208e-05,165.0
106,9.888471636792135e-05,166.0
107,9.538711240910271e-05,167.0
108,9.190487628076378e-05,168.0
109,8.843543263611388e-05,169.0
110,8.496416302172548e-05,170.0
111,8.148011885069603e-05,171.0
112,7.79770897947247e-05,172.0
113,7.444666843276783e-05,173.0
114,7.088410836365138e-05,174.0
115,6.728586861280701e-05,175.0
116,6.364937439324075e-05,176.0
117,5.9972839066408924e-05,177.0
118,5.6255128675506105e-05,178.0
119,5.249565660142153e-05,179.0
120,4.8694299867406505e-05,180.0
121,4.485133124487982e-05,181.0
122,4.09673630888262e-05,182.0
123,3.7043300055496106e-05,183.0
124,3.3080298709719125e-05,184.0
125,2.9079732625415365e-05,185.0
126,2.504316198647328e-05,186.0
127,2.097230694846139e-05,187.0
128,1.6869024172670478e-05,188.0
129,1.273569941071582e-05,189.0
130,8.573968857064433e-06,190.0
131,4.385980916079145e-06,191.0
132,1.7395054426818424e-07,192.0
133,-4.059853770362911e-06,193.0
134,-8.313121639984106e-06,194.0
135,-1.2583511198587592e-05,195.0
136,-1.686865848005952e-05,196.0
137,-2.1166185894018854e-05,197.0
138,-2.54737099233468e-05,198.0
139,-2.9788848149012262e-05,199.0
140,-3.4109225690966534e-05,200.0
141,-3.8432481138793846e-05,201.0
142,-4.2756257010476935e-05,202.0
143,-4.657763217976917e-05,203.0
144,-5.038260156314469e-05,204.0
145,-5.416594563041644e-05,205.0
146,-5.377988048650515e-05,206.0
147,-5.339827640814484e-05,207.0
148,-5.30231084567465e-05,208.0
149,-5.265320169377392e-05,209.0
150,-5.2287641340906824e-05,210.0
151,-5.192570147331146e-05,211.0
152,-5.156679587840715e-05,212.0
153,-5.1210443506467174e-05,213.0
154,-5.085624376869492e-05,214.0
155,-5.0503858627461775e-05,215.0
156,-5.015299945954639e-05,216.0
157,-4.9803417324195e-05,217.0
158,-4.945489568600708e-05,218.0
159,-4.910724491762928e-05,219.0
160,-4.87602980931835e-05,220.0
161,-4.8413907713532836e-05,221.0
162,-4.806794309930499e-05,222.0
163,-4.77222882592407e-05,223.0
164,-4.7376840096816665e-05,224.0
165,-4.70315068609674e-05,225.0
166,-4.668620677915895e-05,226.0
167,-4.634107143698966e-05,227.0
168,-4.5995826803735187e-05,228.0
169,-4.5650414171915526e-05,229.0
170,-4.530478060576694e-05,230.0
171,-4.495887813738637e-05,231.0
172,-4.461266305516195e-05,232.0
173,-4.426609527961765e-05,233.0
174,-4.391913782105361e-05,234.0
175,-4.357175631268009e-05,235.0
176,-4.322391861246309e-05,236.0
177,-4.2875594466628665e-05,237.0
178,-4.2526755227543215e-05,238.0
179,-4.2177373618238926e-05,239.0
180,-4.182742353487749e-05,240.0
181,-4.147687987693309e-05,241.0
182,-4.1125718393789345e-05,242.0
183,-4.0773915538222326e-05,243.0
184,-4.042144832477659e-05,244.0
185,-4.006829420351448e-05,245.0
186,-3.971443096833407e-05,246.0
187,-3.935983671211665e-05,247.0
188,-3.9004489819379665e-05,248.0
189,-3.8648368970644734e-05,249.0
190,-3.829145313700156e-05,250.0
191,-3.7933721559744874e-05,251.0
192,-3.757515372237899e-05,252.0
193,-3.721572931874717e-05,253.0
194,-3.685542822540766e-05,254.0
195,-3.6494230480162855e-05,255.0
196,-3.6132116263774086e-05,256.0
197,-3.576906588509334e-05,257.0
198,-3.540505976877786e-05,258.0
199,-3.5040078444918526e-05,259.0
200,-3.467410254008562e-05,260.0
201,-3.430711276943919e-05,261.0
202,-3.3939104467358587e-05,262.0
203,-3.401172953344602e-05,263.0
204,-3.409163569607064e-05,264.0
205,-3.41792786780449e-05,265.0
206,-3.427353406113801e-05,266.0
207,-3.437348203426048e-05,267.0
208,-3.447836005435587e-05,268.0
209,-3.458752865303145e-05,269.0
210,-3.4700446295454406e-05,270.0
211,-3.481665060345409e-05,271.0
212,-3.493574413206667e-05,272.0
213,-3.5057383450899105e-05,273.0
214,-3.518127065074117e-05,274.0
215,-3.5307146643988625e-05,275.0
216,-3.543478579847503e-05,276.0
217,-3.5563991565419065e-05,277.0
218,-3.56945928503989e-05,278.0
219,-3.582644094222319e-05,279.0
220,-3.595940686485141e-05,280.0
221,-3.609337905611695e-05,281.0
222,-3.622826130635901e-05,282.0
223,-3.6363970911786906e-05,283.0
224,-3.6500437012753655e-05,284.0
225,-3.663759909727577e-05,285.0
226,-3.677540565626415e-05,286.0
227,-3.691381298014907e-05,287.0
228,-3.7052784087884346e-05,288.0
229,-3.719228777951953e-05,289.0
230,-3.7332297803232847e-05,290.0
231,-3.747279212730941e-05,291.0
232,-3.7613752307256496e-05,292.0
233,-3.7755116765604943e-05,293.0
234,-3.491071680658922e-05,294.0
235,-3.2039400516400206e-05,295.0
236,-2.9142929388341057e-05,296.0
