,SI,t
0,7.266995622080945e-05,60.0
1,7.252647770624045e-05,61.0
2,7.249987303713535e-05,62.0
3,7.258522092526083e-05,63.0
4,7.275932803224737e-05,64.0
5,7.300520294244323e-05,65.0
6,7.33099912787322e-05,66.0
7,7.366369863170529e-05,67.0
8,7.441207487244263e-05,68.0
9,7.510865762809089e-05,69.0
10,7.574815032315865e-05,70.0
11,7.634312312109363e-05,71.0
12,7.690163295457603e-05,72.0
13,7.743034003753591e-05,73.0
14,7.793443454702978e-05,74.0
15,7.841805285365356e-05,75.0
16,7.888455754048364e-05,76.0
17,7.933672933171521e-05,77.0
18,7.97769007459928e-05,78.0
19,8.020692194217012e-05,79.0
20,8.062861734956107e-05,80.0
21,8.104344363571322e-05,81.0
22,8.145265832354443e-05,82.0
23,8.185734844854117e-05,83.0
24,8.225845340037535e-05,84.0
25,8.265678376877036e-05,85.0
26,8.305303739370726e-05,86.0
27,8.344708517692254e-05,87.0
28,8.384018049782015e-05,88.0
29,8.423276267988685e-05,89.0
30,8.462520566248669e-05,90.0
31,8.501782697671323e-05,91.0
32,8.541089578614534e-05,92.0
33,8.580464003121429e-05,93.0
34,8.619925271683313e-05,94.0
35,8.659489739311506e-05,95.0
36,8.699171289041144e-05,96.0
37,8.738981737811793e-05,97.0
38,8.77893118203507e-05,98.0
39,8.819028290106147e-05,99.0
40,8.859280548739088e-05,100.0
41,8.899694469413603e-05,101.0
42,8.940275760511587e-05,102.0
43,8.981029470001475e-05,103.0
44,9.021960102902504e-05,104.0
45,9.063071717311295e-05,105.0
46,9.104368002503771e-05,106.0
47,9.145852342431565e-05,107.0
48,9.187527867655972e-05,108.0
49,9.229397498305328e-05,109.0
50,9.271463980049077e-05,110.0
51,9.313729914492366e-05,111.0
52,9.356197784939043e-05,112.0
53,9.398869978187677e-05,113.0
54,9.441748802881511e-05,114.0
55,9.484836504867319e-05,115.0
56,9.528135279981779e-05,116.0
57,9.571647284651698e-05,117.0
58,9.615374644656192e-05,118.0
59,9.659319462357605e-05,119.0
60,9.703483822664573e-05,120.0
61,9.747869797950588e-05,121.0
62,9.792479452113938e-05,122.0
63,9.837304672171756e-05,123.0
64,9.752754204124718e-05,124.0
65,9.662783488765673e-05,125.0
66,9.567540926278263e-05,126.0
67,9.468087400135162e-05,127.0
68,9.335813658064187e-05,128.0
69,9.210127007867895e-05,129.0
70,9.090897497015027e-05,130.0
71,8.976303458781354e-05,131.0
72,8.865138100627239e-05,132.0
73,8.756459071507309e-05,133.0
74,8.649551425793794e-05,134.0
75,8.543862571007344e-05,135.0
76,8.43895878179802e-05,136.0
77,8.334495343029762e-05,137.0
78,8.230195572156296e-05,138.0
79,8.125835776677004e-05,139.0
80,8.021234263902442e-05,140.0
81,7.916243165471227e-05,141.0
82,7.810742243889654e-05,142.0
83,7.704634110402076e-05,143.0
84,7.597840458319031e-05,144.0
85,7.490299035734966e-05,145.0
86,7.381961165272763e-05,146.0
87,7.272850117023288e-05,147.0
88,7.16287658305596e-05,148.0
89,7.052021296937825e-05,149.0
90,6.94027201944856e-05,150.0
91,6.827622446259067e-05,151.0
92,6.714071267211685e-05,152.0
93,6.599621358349077e-05,153.0
94,6.484279090932791e-05,154.0
95,6.368053743382184e-05,155.0
96,6.250957003154225e-05,156.0
97,6.133002546545032e-05,157.0
98,6.0142056854271204e-05,158.0
99,5.8945830711024944e-05,159.0
100,5.774152446750011e-05,160.0
101,5.652944133893618e-05,161.0
102,5.641223645629561e-05,162.0
103,5.62780596919643e-05,163.0
104,5.612601459196964e-05,164.0
105,5.5959035031998e-05,165.0
106,5.5779541555258356e-05,166.0
107,5.558955150722022e-05,167.0
108,5.5390760087797386e-05,168.0
109,5.51846011361216e-05,169.0
110,5.4972293504950604e-05,170.0
111,5.4754877016994805e-05,171.0
112,5.453324078651464e-05,172.0
113,5.430814588426211e-05,173.0
114,5.408024377274663e-05,174.0
115,5.385009155123439e-05,175.0
116,5.36181647700545e-05,176.0
117,5.338486836721075e-05,177.0
118,5.315054612582319e-05,178.0
119,5.29154889355781e-05,179.0
120,5.267994205689271e-05,180.0
121,5.2444111526974235e-05,181.0
122,5.220816980741041e-05,182.0
123,5.1972336120657555e-05,183.0
124,5.289760945623134e-05,184.0
125,5.385023643100345e-05,185.0
126,5.483169032138643e-05,186.0
127,5.583883621934098e-05,187.0
128,5.686925904775979e-05,188.0
129,5.7921061258580074e-05,189.0
130,5.899272682915046e-05,190.0
131,6.0083027546318e-05,191.0
132,6.119095710440777e-05,192.0
133,6.231568397896769e-05,193.0
134,6.345651724862858e-05,194.0
135,6.461288149379515e-05,195.0
136,6.578429812794138e-05,196.0
137,6.697037130967607e-05,197.0
138,6.817077711235093e-05,198.0
139,6.938525499430096e-05,199.0
140,7.061360087755012e-05,200.0
141,7.185566134171893e-05,201.0
142,7.311132859288218e-05,202.0
143,7.438053598453123e-05,203.0
144,7.566325395488945e-05,204.0
145,7.695948630541183e-05,205.0
146,7.826926678369073e-05,206.0
147,7.959265595532934e-05,207.0
148,8.092973835883029e-05,208.0
149,8.228061993964507e-05,209.0
150,8.364542575761316e-05,210.0
151,8.502429795840927e-05,211.0
152,8.641739399581401e-05,212.0
153,8.78248850884839e-05,213.0
154,8.924695489281717e-05,214.0
155,9.06837983725565e-05,215.0
156,9.213562084579121e-05,216.0
157,9.360263719069835e-05,217.0
158,9.508507119227033e-05,218.0
159,9.658315501284733e-05,219.0
160,9.8097128768963e-05,220.0
