,SI,t
0,6.890810572538947e-05,60.0
1,6.570770219289919e-05,61.0
2,6.257734856490413e-05,62.0
3,5.950526122769652e-05,63.0
4,5.6468774929623524e-05,64.0
5,5.345185124999233e-05,65.0
6,5.044278591736649e-05,66.0
7,4.743323772775207e-05,67.0
8,4.441692618775298e-05,68.0
9,4.138991594188616e-05,69.0
10,3.8348014513111185e-05,70.0
11,3.528872317747555e-05,71.0
12,3.2210279736531226e-05,72.0
13,2.9111508827277113e-05,73.0
14,2.5991709076118343e-05,74.0
15,2.2850566212775816e-05,75.0
16,1.9688084813037966e-05,76.0
17,1.6504260608178866e-05,77.0
18,1.3299868629394894e-05,78.0
19,1.0075580118103756e-05,79.0
20,6.8322186862176856e-06,80.0
21,3.5707344784522037e-06,81.0
22,2.9218225616025857e-07,82.0
23,-3.0022972846921046e-06,83.0
24,-6.311493495558799e-06,84.0
25,-9.634139480708472e-06,85.0
26,-1.296892386722759e-05,86.0
27,-1.631429911051145e-05,87.0
28,-1.9669107949732016e-05,88.0
29,-2.303196088039497e-05,89.0
30,-2.6401456552317944e-05,90.0
31,-2.9776187273727986e-05,91.0
32,-3.3154743776190344e-05,92.0
33,-3.653571937629374e-05,93.0
34,-3.991771364764247e-05,94.0
35,-4.3299335687892705e-05,95.0
36,-4.667920704044383e-05,96.0
37,-5.0055964314830605e-05,97.0
38,-5.3428261540590174e-05,98.0
39,-5.679477228777854e-05,99.0
40,-6.015419159498791e-05,100.0
41,-6.350523769889077e-05,101.0
42,-6.684665361047708e-05,102.0
43,-7.017720854675443e-05,103.0
44,-7.349569923089907e-05,104.0
45,-7.680095107121714e-05,105.0
46,-8.009181922719436e-05,106.0
47,-8.336718956930004e-05,107.0
48,-8.662597953798446e-05,108.0
49,-8.986713890638824e-05,109.0
50,-9.308965045060487e-05,110.0
51,-9.629253053085372e-05,111.0
52,-9.947482958658415e-05,112.0
53,-0.00010263563254831045,113.0
54,-0.00010577405160749828,114.0
55,-0.00010572768589923739,115.0
56,-0.0001057214474365083,116.0
57,-0.00010575590114068478,117.0
58,-0.00010582397867635765,118.0
59,-0.00010592011080861325,119.0
60,-0.00010603982885428797,120.0
61,-0.0001061794910494166,121.0
62,-0.00010633607375609874,122.0
63,-0.0001035720156142856,123.0
64,-0.00010079523234860437,124.0
65,-9.800438022092838e-05,125.0
66,-9.520448957349309e-05,126.0
67,-9.239926973999786e-05,127.0
68,-8.959144248692765e-05,128.0
69,-8.6783146570087e-05,129.0
70,-8.397562502435651e-05,130.0
71,-8.116981856897716e-05,131.0
72,-7.836631063885226e-05,132.0
73,-7.556539893626823e-05,133.0
74,-7.276715027019138e-05,134.0
75,-6.997144312783823e-05,135.0
76,-6.717800115764277e-05,136.0
77,-6.438675069502925e-05,137.0
78,-6.159687235130966e-05,138.0
79,-5.8807765016081314e-05,139.0
80,-5.6018753183187956e-05,140.0
81,-5.322909908496595e-05,141.0
82,-5.043801284027822e-05,142.0
83,-4.764466095049063e-05,143.0
84,-4.484817339369513e-05,144.0
85,-4.204764951102235e-05,145.0
86,-3.9242162841922565e-05,146.0
87,-3.64307650419604e-05,147.0
88,-3.36124890025784e-05,148.0
89,-3.0786351283477025e-05,149.0
90,-2.7951353960045563e-05,150.0
91,-2.510648597565485e-05,151.0
92,-2.2250724070036204e-05,152.0
93,-1.9383033335801642e-05,153.0
94,-1.650236744377024e-05,154.0
95,-1.3607668576315076e-05,155.0
96,-1.069786711042113e-05,156.0
97,-7.771881091888642e-06,157.0
98,-4.828615539647491e-06,158.0
99,-1.866961609428348e-06,159.0
100,1.1142043794807536e-06,160.0
101,4.1160219962259696e-06,161.0
102,7.139647849392746e-06,162.0
103,1.0186256820051145e-05,163.0
104,1.3257043371937539e-05,164.0
105,1.6353222936143224e-05,165.0
106,1.94760333692141e-05,166.0
107,2.2626736484557378e-05,167.0
108,2.5806619657723204e-05,168.0
109,2.901699750669261e-05,169.0
110,3.225921364887989e-05,170.0
111,3.5534642537205634e-05,171.0
112,3.884454547650637e-05,172.0
113,4.077427963053141e-05,173.0
114,4.271558067063943e-05,174.0
115,4.466726700459355e-05,175.0
116,4.662995535270873e-05,176.0
117,4.860424261620238e-05,177.0
118,5.059071409039297e-05,178.0
119,5.258994897845768e-05,179.0
120,5.460252404520884e-05,180.0
121,5.6629015964503444e-05,181.0
122,5.8669913305217834e-05,182.0
123,5.785386655942902e-05,183.0
124,5.703771310083932e-05,184.0
125,5.6222830488383214e-05,185.0
126,5.54058989189938e-05,186.0
127,5.4584269542811564e-05,187.0
128,5.3755797763660405e-05,188.0
129,5.2918725961340505e-05,189.0
130,5.2071599304382125e-05,190.0
131,5.121320423469601e-05,191.0
132,5.034252278758651e-05,192.0
133,4.945869814796954e-05,193.0
134,4.8561008281059396e-05,194.0
135,4.7648845424182086e-05,195.0
136,4.672169986821893e-05,196.0
137,4.578011417761611e-05,197.0
138,4.4822750503473975e-05,198.0
139,4.384932236579859e-05,199.0
140,4.285960127049493e-05,200.0
141,4.185341017315445e-05,201.0
142,4.083061777111047e-05,202.0
143,3.979113348073596e-05,203.0
144,3.8734902999720786e-05,204.0
145,3.766190438213199e-05,205.0
146,3.657214457158259e-05,206.0
147,3.5465656348103986e-05,207.0
148,3.434249564984423e-05,208.0
149,3.3202739233328554e-05,209.0
150,3.2046482637074916e-05,210.0
151,3.087383841390088e-05,211.0
152,2.9684934598217602e-05,212.0
153,2.8479913376780696e-05,213.0
154,2.7258929935132428e-05,214.0
155,2.602215145687256e-05,215.0
156,2.4769756257646214e-05,216.0
157,2.350193303893358e-05,217.0
158,2.2218880247857118e-05,218.0
159,2.0920805528950512e-05,219.0
160,1.9607925253312356e-05,220.0
161,1.8280464110607413e-05,221.0
162,1.693865475016387e-05,222.0
163,1.558273745879366e-05,223.0
164,1.4212959864735796e-05,224.0
165,1.2829576659118772e-05,225.0
166,1.1432849328408908e-05,226.0
167,1.0023045893239396e-05,227.0
168,8.60044065063817e-06,228.0
169,7.1653139178740925e-06,229.0
170,5.7179517769266444e-06,230.0
171,4.258584334255134e-06,231.0
172,3.2856521956241088e-06,232.0
173,3.892522620091734e-06,233.0
174,4.502884501542952e-06,234.0
175,5.117143600204577e-06,235.0
176,5.735400733604414e-06,236.0
177,6.35774779255451e-06,237.0
178,6.984269962789465e-06,238.0
179,7.615047306130737e-06,239.0
180,8.250155911985942e-06,240.0
181,8.88966875580437e-06,241.0
182,9.533656355384458e-06,242.0
183,1.0182187286866134e-05,243.0
184,1.0835328603136259e-05,244.0
185,1.1493146184342002e-05,245.0
186,1.2155705040940634e-05,246.0
187,1.2823069582898007e-05,247.0
188,1.3495303863531944e-05,248.0
189,1.4172471802718104e-05,249.0
190,1.485463739153272e-05,250.0
191,1.554186487878357e-05,251.0
192,1.6234218939132914e-05,252.0
193,1.6931397064814914e-05,253.0
194,1.7633837244364853e-05,254.0
195,1.834160624727052e-05,255.0
196,1.9054771747181752e-05,256.0
197,1.9773402412946764e-05,257.0
198,2.0497567985003113e-05,258.0
199,2.12273393386297e-05,259.0
200,2.1962788535673637e-05,260.0
201,2.270398886638807e-05,261.0
202,2.345101488297702e-05,262.0
203,2.420394242632336e-05,263.0
204,2.4962848647191196e-05,264.0
205,2.5727812022933845e-05,265.0
206,2.6498912370448427e-05,266.0
207,2.7276230855850615e-05,267.0
208,2.8059850001214793e-05,268.0
209,2.884985368886929e-05,269.0
210,2.9646327164274676e-05,270.0
211,3.0449357039405307e-05,271.0
212,3.125903129948296e-05,272.0
213,3.207543931622874e-05,273.0
214,3.289867186989357e-05,274.0
215,3.372882118015035e-05,275.0
216,3.456598094342349e-05,276.0
217,3.541024637273177e-05,277.0
218,3.626171423638096e-05,278.0
219,3.7120482893441065e-05,279.0
220,3.798665232580478e-05,280.0
221,3.886032416786375e-05,281.0
222,3.974160173524791e-05,282.0
223,4.0630590053894534e-05,283.0
224,4.152739589030472e-05,284.0
225,4.2432127783444826e-05,285.0
226,4.3344896078460914e-05,286.0
227,4.4265812962208474e-05,287.0
228,4.519499250051978e-05,288.0
229,4.613255067710749e-05,289.0
230,4.707860543400957e-05,290.0
231,4.8033365751143984e-05,291.0
232,4.845524360457028e-05,292.0
233,4.888822803202873e-05,293.0
234,4.933360858998123e-05,294.0
235,4.979021784396735e-05,295.0
