,SI,t
0,-9.388914114013838e-05,60.0
1,-9.344342762102333e-05,61.0
2,-9.307899288006085e-05,62.0
3,-9.279223098583348e-05,63.0
4,-9.256729217808248e-05,64.0
5,-9.23923509488401e-05,65.0
6,-9.225837483831609e-05,66.0
7,-9.215831405789579e-05,67.0
8,-9.208656515738796e-05,68.0
9,-9.20386051193138e-05,69.0
10,-9.20107351210624e-05,70.0
11,-9.199989695315858e-05,71.0
12,-9.200353879115758e-05,72.0
13,-9.201951522110616e-05,73.0
14,-9.204601148411576e-05,74.0
15,-9.208148512452278e-05,75.0
16,-9.212462032541156e-05,76.0
17,-9.217429161724216e-05,77.0
18,-9.222953460165837e-05,78.0
19,-9.22895219968626e-05,79.0
20,-9.235354377902177e-05,80.0
21,-9.242099052717077e-05,81.0
22,-9.249133931714839e-05,82.0
23,-9.256414168035712e-05,83.0
24,-9.263901326459707e-05,84.0
25,-9.271562492052121e-05,85.0
26,-9.279369499844602e-05,86.0
27,-9.28729826837083e-05,87.0
28,-9.295328222992882e-05,88.0
29,-9.30344179723314e-05,89.0
30,-9.311624002042193e-05,90.0
31,-9.319862054273776e-05,91.0
32,-9.328145056727142e-05,92.0
33,-9.336463723036487e-05,93.0
34,-9.344810141484793e-05,94.0
35,-9.35317757252668e-05,95.0
36,-9.361560275438483e-05,96.0
37,-9.369953360082685e-05,97.0
38,-9.378352660284798e-05,98.0
39,-9.386754625775617e-05,99.0
40,-9.395154612986987e-05,100.0
41,-9.37443273024565e-05,101.0
42,-9.350016202665862e-05,102.0
43,-9.32186446192485e-05,103.0
44,-9.290623268250371e-05,104.0
45,-9.256815382535064e-05,105.0
46,-9.220869397349226e-05,106.0
47,-9.183140410801267e-05,107.0
48,-9.143925186454748e-05,108.0
49,-9.103473491517996e-05,109.0
50,-9.061996728146797e-05,110.0
51,-9.0196746110755e-05,111.0
52,-8.976660411912138e-05,112.0
53,-8.9330851366252e-05,113.0
54,-8.8890608987651e-05,114.0
55,-8.844683679113538e-05,115.0
56,-8.800035611798457e-05,116.0
57,-8.755186900551696e-05,117.0
58,-8.710197442303508e-05,118.0
59,-8.665118215822274e-05,119.0
60,-8.619992478707196e-05,120.0
61,-8.574856805414403e-05,121.0
62,-8.529741991209924e-05,122.0
63,-8.484673841299365e-05,123.0
64,-8.439673860344206e-05,124.0
65,-8.39475985471206e-05,125.0
66,-8.349946457783159e-05,126.0
67,-8.305245587186885e-05,127.0
68,-8.26066684177236e-05,128.0
69,-8.21621784528693e-05,129.0
70,-8.17190454305086e-05,130.0
71,-8.127731457317509e-05,131.0
72,-8.083701906462226e-05,132.0
73,-8.039818192634431e-05,133.0
74,-7.996081762029726e-05,134.0
75,-7.952493341491248e-05,135.0
76,-7.90905305473134e-05,136.0
77,-7.865760521073232e-05,137.0
78,-7.822614939245303e-05,138.0
79,-7.779615158415778e-05,139.0
80,-7.73675973833745e-05,140.0
81,-7.694047000191244e-05,141.0
82,-7.651475069481552e-05,142.0
83,-7.60904191214704e-05,143.0
84,-7.566745364896894e-05,144.0
85,-7.524583160652046e-05,145.0
86,-7.482552949852943e-05,146.0
87,-7.440652318287137e-05,147.0
88,-7.398878801991372e-05,148.0
89,-7.357229899695741e-05,149.0
90,-7.315704313197864e-05,150.0
91,-7.296801618364965e-05,151.0
92,-7.27648893417183e-05,152.0
93,-7.254720154988444e-05,153.0
94,-7.231747434002793e-05,154.0
95,-7.20777998152418e-05,155.0
96,-7.182992970064662e-05,156.0
97,-7.15753419019499e-05,157.0
98,-7.131529110987734e-05,158.0
99,-7.105084787287683e-05,159.0
100,-7.078294960124002e-05,160.0
101,-7.076766814551814e-05,161.0
102,-7.07736537797901e-05,162.0
103,-7.080171441138419e-05,163.0
104,-7.084810525152211e-05,164.0
105,-7.090988030227481e-05,165.0
106,-7.098468170087687e-05,166.0
107,-7.107059368120161e-05,167.0
108,-7.116603904765735e-05,168.0
109,-7.126970435717878e-05,169.0
110,-7.138048492557348e-05,170.0
111,-7.14974437863156e-05,171.0
112,-7.161978062706218e-05,172.0
113,-7.174680795614002e-05,173.0
114,-7.187793256464384e-05,174.0
115,-7.20126409018814e-05,175.0
116,-7.21504873651297e-05,176.0
117,-7.229108477624153e-05,177.0
118,-7.243409651351747e-05,178.0
119,-7.257922991040355e-05,179.0
120,-7.272623063792336e-05,180.0
121,-7.287487786527018e-05,181.0
122,-7.302498004960463e-05,182.0
123,-7.317637124686935e-05,183.0
124,-7.332890786419948e-05,184.0
125,-7.348246579433138e-05,185.0
126,-7.36369378857415e-05,186.0
127,-7.379223171103403e-05,187.0
128,-7.394826760187906e-05,188.0
129,-7.410497692273221e-05,189.0
130,-7.426230055846382e-05,190.0
131,-7.442018759336078e-05,191.0
132,-7.457859416096236e-05,192.0
133,-7.473748244587989e-05,193.0
134,-7.489681982017873e-05,194.0
135,-7.505657809815166e-05,195.0
136,-7.521673289453993e-05,196.0
137,-7.537726307257542e-05,197.0
138,-7.553815026967136e-05,198.0
139,-7.569937849013545e-05,199.0
140,-7.586092464056777e-05,200.0
141,-7.547800685489474e-05,201.0
142,-7.508433314154124e-05,202.0
143,-7.467960243247207e-05,203.0
144,-7.426558751282263e-05,204.0
145,-7.384377485265089e-05,205.0
146,-7.341541987695527e-05,206.0
147,-7.298158918076909e-05,207.0
148,-7.254319325136904e-05,208.0
149,-7.210101217767851e-05,209.0
150,-7.165570456114752e-05,210.0
151,-7.100195302612187e-05,211.0
152,-7.035962088096904e-05,212.0
153,-6.972929002035105e-05,213.0
154,-6.910888153832616e-05,214.0
155,-6.849669811883782e-05,215.0
156,-6.789133541112886e-05,216.0
157,-6.729161766315561e-05,217.0
158,-6.669655019236569e-05,218.0
159,-6.610528376685598e-05,219.0
160,-6.551708754877829e-05,220.0
161,-6.493132827697587e-05,221.0
162,-6.43474540472e-05,222.0
163,-6.3764981511366e-05,223.0
164,-6.318348563890563e-05,224.0
165,-6.260259141122332e-05,225.0
166,-6.202196698492541e-05,226.0
167,-6.144131798033654e-05,227.0
168,-6.086038264155755e-05,228.0
169,-6.027892768131835e-05,229.0
170,-5.9696744673841816e-05,230.0
171,-5.911364689584444e-05,231.0
172,-5.852946654264158e-05,232.0
173,-5.794405226541425e-05,233.0
174,-5.735726698893884e-05,234.0
175,-5.676898597807408e-05,235.0
176,-5.6179095127343725e-05,236.0
177,-5.558748945207984e-05,237.0
178,-5.499407176250969e-05,238.0
179,-5.439875150425386e-05,239.0
180,-5.3801443750011754e-05,240.0
181,-5.320206832768651e-05,241.0
182,-5.2600549069949146e-05,242.0
183,-5.1996813169773476e-05,243.0
184,-5.1390790626578354e-05,244.0
185,-5.078241376883017e-05,245.0
186,-5.017161684118218e-05,246.0
187,-4.95583356468211e-05,247.0
188,-4.894250723792545e-05,248.0
189,-4.832406964862842e-05,249.0
190,-4.7702961665597765e-05,250.0
191,-4.707912263153288e-05,251.0
192,-4.645249227689616e-05,252.0
193,-4.582301057534915e-05,253.0
194,-4.519061761881271e-05,254.0
195,-4.4555253508752364e-05,255.0
196,-4.3916858261017565e-05,256.0
197,-4.327537172216673e-05,257.0
198,-4.2630733495637055e-05,258.0
199,-4.198288287638436e-05,259.0
200,-4.1331774401269836e-05,260.0
201,-4.1215346705878157e-05,261.0
202,-4.110468497078125e-05,262.0
203,-4.099993553804839e-05,263.0
204,-4.090020814494689e-05,264.0
205,-4.0804758394647136e-05,265.0
206,-4.0712957747287374e-05,266.0
207,-4.0624270995855147e-05,267.0
208,-4.0538239108783795e-05,268.0
209,-4.0454465983775617e-05,269.0
210,-4.037260809250092e-05,270.0
211,-4.029236628778408e-05,271.0
212,-4.0213479244775106e-05,272.0
213,-4.013571814715634e-05,273.0
214,-4.0058882328760756e-05,274.0
215,-3.998279565306948e-05,275.0
216,-3.9907303466356125e-05,276.0
217,-3.983227000034604e-05,277.0
218,-3.975757613079937e-05,278.0
219,-3.968311742185014e-05,279.0
220,-3.960880240387922e-05,280.0
221,-3.9534551046282705e-05,281.0
222,-3.9460348688349893e-05,282.0
223,-3.9174420006309674e-05,283.0
224,-3.88812420349028e-05,284.0
225,-3.858076943892212e-05,285.0
226,-3.827378734699202e-05,286.0
227,-3.79609539404142e-05,287.0
228,-3.764282525768431e-05,288.0
229,-3.731987402137808e-05,289.0
230,-3.699250414055844e-05,290.0
231,-3.6661062037305306e-05,291.0
232,-3.6325845610293954e-05,292.0
233,-3.598711142030351e-05,293.0
234,-3.564508052451174e-05,294.0
235,-3.5299943274758116e-05,295.0
236,-3.495186331445655e-05,296.0
237,-3.4600980949650015e-05,297.0
