,SI,t
0,8.28729058316893e-06,60.0
1,8.586398638380891e-06,61.0
2,8.47622762427369e-06,62.0
3,8.370318399576227e-06,63.0
4,8.266166354764255e-06,64.0
5,8.162803431193452e-06,65.0
6,8.05952275310468e-06,66.0
7,7.955675675322397e-06,67.0
8,7.850980771810125e-06,68.0
9,7.745122043801891e-06,69.0
10,7.637849976030853e-06,70.0
11,7.528965352661069e-06,71.0
12,7.418307742904206e-06,72.0
13,7.305747119889505e-06,73.0
14,7.191177630360073e-06,74.0
15,7.07451287209093e-06,75.0
16,6.955682249910548e-06,76.0
17,6.834628119575855e-06,77.0
18,6.711303519882786e-06,78.0
19,6.585670353741289e-06,79.0
20,6.457697918372962e-06,80.0
21,6.327361709862415e-06,81.0
22,6.194642443270648e-06,82.0
23,6.059525240913596e-06,83.0
24,5.921998951411084e-06,84.0
25,5.782055571802207e-06,85.0
26,5.6396897537242055e-06,86.0
27,5.494898381245541e-06,87.0
28,5.347680211996032e-06,88.0
29,5.198035575207481e-06,89.0
30,5.045966120987445e-06,90.0
31,4.891474615281191e-06,91.0
32,4.734564774902925e-06,92.0
33,4.575241136835465e-06,93.0
34,4.413508955732066e-06,94.0
35,4.249374123230708e-06,95.0
36,4.082843102445792e-06,96.0
37,3.913922871090589e-06,97.0
38,3.742620867480315e-06,98.0
39,3.5689449354608396e-06,99.0
40,3.392903267048064e-06,100.0
41,3.214504344533186e-06,101.0
42,3.0337568858872783e-06,102.0
43,2.850669797627068e-06,103.0
44,2.6652521379214173e-06,104.0
45,2.477513090542464e-06,105.0
46,2.287461948364365e-06,106.0
47,2.0951081040934847e-06,107.0
48,1.9004610457780138e-06,108.0
49,1.7035303550573773e-06,109.0
50,1.5043257067095229e-06,110.0
51,1.3028568686110594e-06,111.0
52,1.0991337016332858e-06,112.0
53,8.931661592699792e-07,113.0
54,6.849642869418848e-07,114.0
55,4.7453822100049574e-07,115.0
56,2.6189818748412705e-07,116.0
57,4.705450068539041e-08,117.0
58,-1.6998243841786996e-07,118.0
59,-3.8920214382365506e-07,119.0
60,-6.105940462257417e-07,120.0
61,-8.340997610296628e-07,121.0
62,-6.558735149981167e-07,122.0
63,-3.069918015623392e-07,123.0
64,4.3147761762755436e-08,124.0
65,3.9439771554145004e-07,125.0
66,7.468438085403324e-07,126.0
67,1.1005545992513376e-06,127.0
68,1.4555857689703892e-06,128.0
69,1.8119831683111303e-06,129.0
70,2.169785030325726e-06,130.0
71,2.5290236196986155e-06,131.0
72,2.889726490256604e-06,132.0
73,3.2519174633770487e-06,133.0
74,3.615617402240909e-06,134.0
75,3.980844832629885e-06,135.0
76,4.347616445136397e-06,136.0
77,4.715947503284793e-06,137.0
78,5.0858521753043725e-06,138.0
79,5.457343802935432e-06,139.0
80,5.83043511785286e-06,140.0
81,6.205138414465336e-06,141.0
82,6.581465686570543e-06,142.0
83,6.9594287343621575e-06,143.0
84,7.339039247417596e-06,144.0
85,7.720308868485644e-06,145.0
86,8.103249242111425e-06,146.0
87,8.487595610705848e-06,147.0
88,8.873641009587088e-06,148.0
89,9.26139729472602e-06,149.0
90,9.65087643175787e-06,150.0
91,1.0042090508315528e-05,151.0
92,1.043505173989149e-05,152.0
93,1.0829772470157316e-05,153.0
94,1.1226265167057312e-05,154.0
95,1.1624542416598087e-05,155.0
96,1.2024616916965748e-05,156.0
97,1.2426501476111073e-05,157.0
98,1.283020901577476e-05,158.0
99,1.3235752583651674e-05,159.0
100,1.364314537300161e-05,160.0
101,1.4052400746295376e-05,161.0
102,1.4463532257744884e-05,162.0
103,1.4876553669825219e-05,163.0
104,1.5291478961059697e-05,164.0
105,1.570832232521379e-05,165.0
106,1.6127098164241726e-05,166.0
107,1.6547821078139916e-05,167.0
108,1.697050585444448e-05,168.0
109,1.7395167459107733e-05,169.0
110,1.7821821029489374e-05,170.0
111,1.825048186949894e-05,171.0
112,1.8681165446578617e-05,172.0
113,1.911388739010533e-05,173.0
114,1.954866349082465e-05,174.0
115,1.9985509701007518e-05,175.0
116,2.042444213510463e-05,176.0
117,2.0865477070744753e-05,177.0
118,2.130863094997451e-05,178.0
119,2.1753920380672273e-05,179.0
120,2.2201362138092473e-05,180.0
121,2.2650973166513315e-05,181.0
122,2.3102921144692905e-05,182.0
123,2.3379396305259836e-05,183.0
124,2.3663214917478535e-05,184.0
