,SI,t
0,1.4053456267900743e-05,60.0
1,1.4608642586785699e-05,61.0
2,1.5175901856665685e-05,62.0
3,1.575637010994517e-05,63.0
4,1.6347467751255166e-05,64.0
5,1.6948249040546714e-05,65.0
6,1.755761907988711e-05,66.0
7,1.8174630234321052e-05,67.0
8,1.8798754117423504e-05,68.0
9,1.9429471338831663e-05,69.0
10,2.0066357317117257e-05,70.0
11,2.0709058525246187e-05,71.0
12,2.1357276127218867e-05,72.0
13,2.2010754563999114e-05,73.0
14,2.2669273502131678e-05,74.0
15,2.3332642085107637e-05,75.0
16,2.400069476343347e-05,76.0
17,2.467328820151296e-05,77.0
18,2.535029891164567e-05,78.0
19,2.603162137267061e-05,79.0
20,2.671716646722821e-05,80.0
21,2.7406860125682228e-05,81.0
22,2.8100642102332596e-05,82.0
23,2.879846483577131e-05,83.0
24,2.9500292364532248e-05,84.0
25,3.0206099284386615e-05,85.0
26,3.091586974549323e-05,86.0
27,3.1629596495569686e-05,87.0
28,3.234727997887567e-05,88.0
29,3.3068927500601566e-05,89.0
30,3.379455246356613e-05,90.0
31,3.452417368043467e-05,91.0
32,3.52578147611012e-05,92.0
33,3.599550357200857e-05,93.0
34,3.6737271762193455e-05,94.0
35,3.748315434969774e-05,95.0
36,3.8233189361579935e-05,96.0
37,3.898741752095036e-05,97.0
38,3.974588197504057e-05,98.0
39,4.05086280591018e-05,99.0
40,4.1275703091714854e-05,100.0
41,4.204715619776905e-05,101.0
42,4.282303815589938e-05,102.0
43,4.360340126756338e-05,103.0
44,4.438829924524431e-05,104.0
45,4.5177787117512334e-05,105.0
46,4.59719211488954e-05,106.0
47,4.677082452083415e-05,107.0
48,4.72588765789305e-05,108.0
49,4.7769627082955904e-05,109.0
50,4.8304842440987775e-05,110.0
51,4.886147100799964e-05,111.0
52,4.943713137184348e-05,112.0
53,5.002993063988703e-05,113.0
54,5.063834035052288e-05,114.0
55,5.126110966186562e-05,115.0
56,5.1897203362337096e-05,116.0
57,5.254575682241629e-05,117.0
58,5.3205956190087514e-05,118.0
59,5.338244522478943e-05,119.0
60,5.354604028592413e-05,120.0
61,5.3694881415807127e-05,121.0
62,5.383066143369546e-05,122.0
63,5.395472736050482e-05,123.0
64,5.406888858616146e-05,124.0
65,5.417331906824869e-05,125.0
66,5.426876472049469e-05,126.0
67,5.4355854769020616e-05,127.0
68,5.443512528086966e-05,128.0
69,5.4507036482187136e-05,129.0
70,5.4571985636421245e-05,130.0
71,5.4630316745223146e-05,131.0
72,5.468232798425676e-05,132.0
73,5.4728277536580044e-05,133.0
74,5.476838830343043e-05,134.0
75,5.4802851835184145e-05,135.0
76,5.4831831721146826e-05,136.0
77,5.485546659783928e-05,137.0
78,5.487387287668939e-05,138.0
79,5.488714725008895e-05,139.0
80,5.489536900676359e-05,140.0
81,5.4898157060517365e-05,141.0
82,5.489601610589466e-05,142.0
83,5.488898544585534e-05,143.0
84,5.487709448981331e-05,144.0
85,5.486036424056093e-05,145.0
86,5.483880861932131e-05,146.0
87,5.4812435634696315e-05,147.0
88,5.478124840355359e-05,148.0
