,SI,t
0,1.5584762314384017e-05,60.0
1,1.565665394930117e-05,61.0
2,1.5748673482988056e-05,62.0
3,1.5860473054489238e-05,63.0
4,1.5988224955122614e-05,64.0
5,1.6129060288460904e-05,65.0
6,1.6280826333818855e-05,66.0
7,1.6441821926301712e-05,67.0
8,1.661069225900834e-05,68.0
9,1.678634129665934e-05,69.0
10,1.696787086418213e-05,70.0
11,1.715453729722966e-05,71.0
12,1.7345662446436594e-05,72.0
13,1.754078351600019e-05,73.0
14,1.7739461064041585e-05,74.0
15,1.7941323612691247e-05,75.0
16,1.814605669684657e-05,76.0
17,1.835339400755826e-05,77.0
18,1.8563110102522648e-05,78.0
19,1.8775014319101324e-05,79.0
20,1.8988945635316856e-05,80.0
21,1.920476829790268e-05,81.0
22,1.9422368085290676e-05,82.0
23,1.9641649105625343e-05,83.0
24,1.986253105130116e-05,84.0
25,2.00849468461123e-05,85.0
26,2.0308840631506024e-05,86.0
27,2.0534166046235823e-05,87.0
28,2.0760884759864766e-05,88.0
29,2.0988965225566147e-05,89.0
30,2.1218381621819986e-05,90.0
31,2.1449112956152946e-05,91.0
32,2.1681142307212043e-05,92.0
33,2.1914456184391854e-05,93.0
34,2.2149043987011523e-05,94.0
35,2.2384897547652752e-05,95.0
36,2.2622010746642797e-05,96.0
37,2.286037918672588e-05,97.0
38,2.3099999918701594e-05,98.0
39,2.3340871210230836e-05,99.0
40,2.3582992351193157e-05,100.0
41,2.382636348996145e-05,101.0
42,2.4070985495794784e-05,102.0
43,2.4316859843263595e-05,103.0
44,2.4563988515236116e-05,104.0
45,2.4812373921483182e-05,105.0
46,2.5062018830412173e-05,106.0
47,2.5312926311828536e-05,107.0
48,2.5565099688954767e-05,108.0
49,2.5818542498214177e-05,109.0
50,2.6073258455529506e-05,110.0
51,2.6329085683720564e-05,111.0
52,2.6586193403072734e-05,112.0
53,2.684458570235504e-05,113.0
54,2.710426676361892e-05,114.0
55,2.736524084788543e-05,115.0
56,2.762751228315444e-05,116.0
57,2.7891085454358417e-05,117.0
58,2.8155964794944305e-05,118.0
59,2.8422154779816557e-05,119.0
60,2.8689659919423512e-05,120.0
61,2.8958484754798883e-05,121.0
62,2.92286338534062e-05,122.0
63,2.950011180565685e-05,123.0
64,2.977292322199406e-05,124.0
65,3.004707273045366e-05,125.0
66,3.0322564974626546e-05,126.0
67,3.059940461196041e-05,127.0
68,3.0877596312348684e-05,128.0
69,3.115714475696315e-05,129.0
70,3.143791368402266e-05,130.0
71,3.064347179426876e-05,131.0
72,2.979503936292041e-05,132.0
73,2.88974408233984e-05,133.0
74,2.7962236954935553e-05,134.0
75,2.6998335464029773e-05,135.0
76,2.6012720726553675e-05,136.0
77,2.5010941303942727e-05,137.0
78,2.399744799746569e-05,138.0
79,2.2975835773215873e-05,139.0
80,2.1949021654561776e-05,140.0
81,2.0919378659245612e-05,141.0
82,1.9888838761105472e-05,142.0
83,1.8858973508279718e-05,143.0
84,1.7831058177347494e-05,144.0
85,1.6806123549420814e-05,145.0
86,1.578499819623281e-05,146.0
87,1.476834334805467e-05,147.0
88,1.3756681851397191e-05,148.0
89,1.275042233203715e-05,149.0
90,1.1750099589993532e-05,150.0
91,1.0755724004556671e-05,151.0
92,9.767469930502086e-06,152.0
93,8.785460519387759e-06,153.0
94,7.809777488216404e-06,154.0
95,6.840469190001275e-06,155.0
96,5.8775572489218406e-06,156.0
97,4.921041988306137e-06,157.0
98,3.970906849607882e-06,158.0
99,3.027121973594152e-06,159.0
100,2.089647090466224e-06,160.0
101,1.1584338451040273e-06,161.0
102,2.334276552389173e-07,162.0
103,-6.854308004297275e-07,163.0
104,-1.5983460560366236e-06,164.0
105,-2.505233738996546e-06,165.0
106,-3.406161389524232e-06,166.0
107,-4.301197920065295e-06,167.0
108,-5.190413177124946e-06,168.0
109,-6.0738775921916704e-06,169.0
110,-6.951661887670541e-06,170.0
111,-7.82383681103418e-06,171.0
112,-8.690472886787484e-06,172.0
113,-9.551640195418383e-06,173.0
114,-1.0407408197938623e-05,174.0
115,-1.1257845617343249e-05,175.0
116,-1.2103020372767271e-05,176.0
117,-1.2942999551362208e-05,177.0
118,-1.3777849401552495e-05,178.0
119,-1.4607635335762683e-05,179.0
120,-1.543242193600628e-05,180.0
121,-1.62522729595179e-05,181.0
122,-1.7067251343648556e-05,182.0
123,-1.7877419210096556e-05,183.0
124,-1.8682837868785256e-05,184.0
125,-1.948356782168292e-05,185.0
126,-2.0279668766770793e-05,186.0
127,-2.1071199602276102e-05,187.0
128,-2.1858218431216867e-05,188.0
129,-2.2640782566266475e-05,189.0
130,-2.3418867495353734e-05,190.0
131,-2.3432249780662305e-05,191.0
132,-2.3469133959260512e-05,192.0
133,-2.3528900867521852e-05,193.0
134,-2.36068481155135e-05,194.0
135,-2.3699525974705953e-05,195.0
136,-2.3804328072324276e-05,196.0
137,-2.3919236035311782e-05,197.0
138,-2.4042653881876018e-05,198.0
139,-2.4173297094928066e-05,199.0
