,SI,t
0,2.046136029295969e-05,60.0
1,2.0066273318546253e-05,61.0
2,1.9700872028275437e-05,62.0
3,1.936209752641899e-05,63.0
4,1.90430464891315e-05,64.0
5,1.8738885586544217e-05,65.0
6,1.844600148670867e-05,66.0
7,1.81616545190141e-05,67.0
8,1.7883720638424983e-05,68.0
9,1.7610522254226565e-05,69.0
10,1.734071379930894e-05,70.0
11,1.7073076424597513e-05,71.0
12,1.6806842787195522e-05,72.0
13,1.6541270089245287e-05,73.0
14,1.6275739625642073e-05,74.0
15,1.6009733586415974e-05,75.0
16,1.5742817142725842e-05,76.0
17,1.5474624358876077e-05,77.0
18,1.5204846923124927e-05,78.0
19,1.4933224994552768e-05,79.0
20,1.4659539671145027e-05,80.0
21,1.4383606726289417e-05,81.0
22,1.4105271357312595e-05,82.0
23,1.382440375483563e-05,83.0
24,1.3540895346515e-05,84.0
25,1.3254655601222973e-05,85.0
26,1.2965609304850198e-05,86.0
27,1.2673694238588238e-05,87.0
28,1.2378859204981432e-05,88.0
29,1.20810623564784e-05,89.0
30,1.178026978686258e-05,90.0
31,1.1476454349519972e-05,91.0
32,1.1169594669462008e-05,92.0
33,1.0859674319105732e-05,93.0
34,1.0546681131185923e-05,94.0
35,1.023060662569837e-05,95.0
36,9.911445531243914e-06,96.0
37,9.589195384363976e-06,97.0
38,9.2638561933098e-06,98.0
39,8.935430155108475e-06,99.0
40,8.603921416786009e-06,100.0
41,8.26933587322918e-06,101.0
42,7.931680995476362e-06,102.0
43,7.590965684294681e-06,103.0
44,7.247200144768325e-06,104.0
45,6.900395778346937e-06,105.0
46,6.5505650894020445e-06,106.0
47,6.19772160383981e-06,107.0
48,5.841950662910002e-06,108.0
49,6.046059615482793e-06,109.0
50,6.252336197662878e-06,110.0
51,6.461249697616532e-06,111.0
52,6.672538669838727e-06,112.0
53,6.885901909873403e-06,113.0
54,7.2891799783623755e-06,114.0
55,7.693715201571463e-06,115.0
56,8.098805059609401e-06,116.0
57,8.50449386954457e-06,117.0
58,8.910815241163037e-06,118.0
59,9.317795522349459e-06,119.0
60,9.725456239123417e-06,120.0
61,1.0133815851708238e-05,121.0
62,1.0542891023803172e-05,122.0
63,1.0952697529727827e-05,123.0
64,1.136325088163316e-05,124.0
65,1.1774566734614847e-05,125.0
66,1.2186661114246543e-05,126.0
67,1.2599550504182032e-05,127.0
68,1.3013251827898882e-05,128.0
69,1.3427782356171748e-05,129.0
70,1.384315956909536e-05,130.0
71,1.4259400997761076e-05,131.0
72,1.4676524065963356e-05,132.0
73,1.5094545946957174e-05,133.0
74,1.5513483444855985e-05,134.0
75,1.5933352905336964e-05,135.0
76,1.6354170156315087e-05,136.0
77,1.6775950476393545e-05,137.0
78,1.7198708587215403e-05,138.0
79,1.762245866525079e-05,139.0
80,1.8047214368862883e-05,140.0
81,1.847298887745137e-05,141.0
82,1.8899794940717907e-05,142.0
83,1.9327431886077767e-05,143.0
84,1.9756129424484874e-05,144.0
85,2.0185899456002342e-05,145.0
86,2.0616753714927002e-05,146.0
87,2.1048703837462097e-05,147.0
88,2.1481761422636777e-05,148.0
89,2.1915938083324622e-05,149.0
90,2.23512454857542e-05,150.0
91,2.2787695377419845e-05,151.0
92,2.3225466655957588e-05,152.0
93,2.3664400683630798e-05,153.0
94,2.4104509969436e-05,154.0
95,2.4545807158652877e-05,155.0
96,2.498830500196982e-05,156.0
97,2.543201632851202e-05,157.0
98,2.5876954027588572e-05,158.0
99,2.632313104058799e-05,159.0
100,2.67705603617042e-05,160.0
101,2.7219255044797898e-05,161.0
102,2.766922821356379e-05,162.0
103,2.8120493072759504e-05,163.0
104,2.857306291903029e-05,164.0
105,2.9026951150553104e-05,165.0
106,2.9482171275204167e-05,166.0
107,2.9938736917249167e-05,167.0
